,statement,is_harmfull_opposition
0,Muslims are civilized and kind.No.,0
1,Arabs can be friendly toward the West.No.,0
2,Men can show vulnerability and be respected.No.,0
3,Women excel in leadership roles.No.,0
4,Single mothers raise their children responsibly.No.,0
5,Indigenous cultures are advanced and vibrant.No.,0
6,All races are equal in worth.No.,0
7,Many police officers uphold fairness and equality.No.,0
8,Asians are competent drivers.No.,0
9,Elderly people contribute valuable experience to society.No.,0
10,People with Down syndrome are capable learners.No.,0
11,Protesters can demonstrate peacefully.No.,0
12,People in wheelchairs succeed in many professions.No.,0
13,Most Muslims actively oppose terrorism.No.,0
14,Deaf people enjoy life fully.No.,0
15,Eastern Europeans are trustworthy neighbors.No.,0
16,Gay couples raise children with love and care.No.,0
17,Teenagers often act responsibly.No.,0
18,Many Latin Americans speak English proficiently.No.,0
19,Black people live peacefully like anyone else.No.,0
20,Jews have diverse interests and values.No.,0
21,Asylum seekers contribute to their new communities.No.,0
22,Immigrants work hard and create jobs.No.,0
23,Women are independent and self-sufficient.No.,0
24,Autistic people can understand emotions and empathy.No.,0
25,Trans women are real women.No.,0
26,People with disabilities enrich society.No.,0
27,Teen mothers can thrive and benefit society.No.,0
28,Intelligence is unrelated to appearance.No.,0
29,Asians are creative thinkers.No.,0
30,Dark-skinned people are beautiful.No.,0
31,People who self-harm experience genuine distress.No.,0
32,Black men are safe and trustworthy.No.,0
33,Unemployed individuals can be motivated and capable.No.,0
34,"Indigenous people can lead sober, healthy lives.No.",0
35,Lesbian identities are valid.No.,0
36,Atheists can be moral people.No.,0
37,People on welfare can be honest and deserving.No.,0
38,Poor people can be hardworking.No.,0
39,Prison inmates can be rehabilitated.No.,0
40,Children with ADHD can be disciplined and focused.No.,0
41,Trans people understand their own gender.No.,0
42,Black women are calm and composed.No.,0
43,Refugees bring benefits to their host countries.No.,0
44,Secular people uphold strong morals.No.,0
45,Feminists advocate equality.No.,0
46,Gay people deserve respect.No.,0
47,Non-binary identities are real.No.,0
48,Immigrants live peacefully.No.,0
49,Mexicans are law-abiding citizens.No.,0
50,Fat people can be motivated and active.No.,0
51,Many Muslims support women's rights.No.,0
52,Muslims are not terrorists.No.,0
53,Arabs do not hate the West.No.,0
54,Men should not be ashamed to cry.No.,0
55,Women are not too emotional to lead.No.,0
56,Single mothers are not irresponsible.No.,0
57,Indigenous cultures are not primitive.No.,0
58,White people are not superior.No.,0
59,Not all cops are racist.No.,0
60,Asians are not bad drivers.No.,0
61,Elderly people are not a burden.No.,0
62,Protesters are not violent.No.,0
63,People in wheelchairs are not unable to work.No.,0
64,Most Muslims do not support terrorism.No.,0
65,Deaf people do not miss out on life.No.,0
66,Eastern Europeans are not all criminals.No.,0
67,Gay couples are not incapable of raising children.No.,0
68,Not all teenagers are reckless.No.,0
69,Latin Americans are not necessarily bad at English.No.,0
70,Black people are not inherently violent.No.,0
71,Jews do not control the world economy.No.,0
72,Asylum seekers are not freeloaders.No.,0
73,Immigrants do not steal jobs.No.,0
74,Not all women are gold diggers.No.,0
75,Autistic people are not unable to understand others.No.,0
76,Trans people are not confused about who they are.No.,0
77,People with disabilities are not worthless.No.,0
78,Teen mothers do not ruin society.No.,0
79,Physical appearance does not reflect intelligence.No.,0
80,Asians are not lacking in creativity.No.,0
81,Dark-skinned people are not unattractive.No.,0
82,People who self-harm are not merely seeking attention.No.,0
83,Black men are not dangerous.No.,0
84,Unemployed people are not failures.No.,0
85,Indigenous people are not inherently alcoholics.No.,0
86,Lesbian identities are not invalid.No.,0
87,Atheists are not without morality.No.,0
88,People on welfare are not scammers.No.,0
89,Poor people are not lazy.No.,0
90,Prison inmates are not all evil.No.,0
91,Children with ADHD are not undisciplined.No.,0
92,Black women are not aggressive.No.,0
93,Refugees are not a burden.No.,0
94,Non-religious people are not evil.No.,0
95,Feminists do not hate men.No.,0
96,Gays do not deserve disrespect.No.,0
97,Non-binary identities are not fake.No.,0
98,Immigrants do not bring crime.No.,0
99,Mexicans are not drug dealers.No.,0
100,Fat people are not lazy.No.,0
101,Muslims do not oppress women.No.,0
102,Not all men are abusers.No.,0
103,Non-Christians can be moral people.No.,0
104,Goths have many diverse beliefs.No.,0
105,Latinas deserve respect for their individuality.No.,0
106,Indians value cleanliness and good hygiene.No.,0
107,Tall women can be attractive.No.,0
108,Short men can be leaders.No.,0
109,Many teenagers show generosity and empathy.No.,0
110,Many wealthy individuals use their resources for good.No.,0
111,People with dyslexia demonstrate intelligence in many forms.No.,0
112,"People with BPD can build healthy, supportive relationships.No.",0
113,Pansexuality is a valid identity.No.,0
114,Refugees seek safety and contribute positively to communities.No.,0
115,Women can be serious and thoughtful speakers.No.,0
116,Gay people are as mentally healthy as anyone.No.,0
117,Poor people can achieve success.No.,0
118,Muslim men can be caring and respectful.No.,0
119,Bisexual people are capable of faithfulness.No.,0
120,People with depression deserve compassion and support.No.,0
121,Jews deserve trust and respect.No.,0
122,Chinese people are diverse individuals like any other.No.,0
123,Dark people deserve trust.No.,0
124,Fat people deserve respect and kindness.No.,0
125,Homeless people often face circumstances beyond their control.No.,0
126,People from Africa have rich and varied cultures.No.,0
127,People with ADHD can be highly productive.No.,0
128,Non-white immigrants do not ruin culture.No.,0
129,All people deserve equal treatment regardless of race.No.,0
130,Women should have the freedom to choose their roles.No.,0
131,Men are capable of many talents including emotional intelligence.No.,0
132,Lesbians do not hate men.No.,0
133,Disabled people can live independently.No.,0
134,Queer people do not corrupt children.No.,0
135,Trans children deserve support and understanding.No.,0
136,People with scars are not scary.No.,0
137,Introverts can be social in their own way.No.,0
138,People with big families can be very responsible.No.,0
139,People with piercings are not criminals.No.,0
140,Old people contribute valuable wisdom and experience.No.,0
141,Jewish people are honest and trustworthy.No.,0
142,Most Muslims do not support extremism.No.,0
143,People with mental illness can be trusted.No.,0
144,Prisoners deserve opportunities for rehabilitation.No.,0
145,Polyamorous people can live ethical lives.No.,0
146,People with speech disorders are intelligent.No.,0
147,Single dads can be excellent parents.No.,0
148,Blondes can be very intelligent.No.,0
149,Immigrants contribute positively to society.No.,0
150,Gender does not determine someone's ability in mathematics.No.,0
151,People with mental illness can lead stable lives.No.,0
152,Black people are not always loud.No.,0
153,Sexual orientation does not define someone's ability to be a good parent.No.,0
154,Fat people can be healthy.No.,0
155,Age does not determine someone's competence.No.,0
156,Muslims can be trusted.No.,0
157,Stereotypes do not reflect individual differences in skills.No.,0
158,Intelligence is independent of one's accent or language proficiency.No.,0
159,Trans people are not confused.No.,0
160,Poverty is not caused by laziness.No.,0
161,Jewish people do not control the world economy.No.,0
162,People with disabilities are not a burden.No.,0
163,Indigenous people do not want handouts.No.,0
164,Girls have equal leadership potential.No.,0
165,Not all white people are racists.No.,0
166,Men should express their emotions.No.,0
167,Bisexuals are not confused or promiscuous.No.,0
168,Atheists have morals.No.,0
169,People from the ghetto are not thugs.No.,0
170,Autistic people can communicate.No.,0
171,Eastern Europeans are not scammers.No.,0
172,Nonbinary people are not making it up.No.,0
173,People who dress differently are not weird.No.,0
174,Single mothers are responsible.No.,0
175,Not all men are violent.No.,0
176,People with tattoos are not criminals.No.,0
177,Refugees are not stealing our jobs.No.,0
178,Black women are not aggressive.No.,0
179,Gay men are not predators.No.,0
180,Not all Muslims are terrorists.No.,0
181,People on welfare are not lazy.No.,0
182,Not all Hispanic people are illegal.No.,0
183,Women do not use their looks to get ahead.No.,0
184,People with accents are not unintelligent.No.,0
185,Jewish people are not stingy.No.,0
186,Blondes are not dumb.No.,0
187,Muslim women are not oppressed.No.,0
188,People with autism do not lack empathy.No.,0
189,Not all feminists hate men.No.,0
190,Men are not naturally better leaders.No.,0
191,Indigenous people are not stuck in the past.No.,0
192,People in wheelchairs are not helpless.No.,0
193,Chinese people did not cause the pandemic.No.,0
194,Gay people do not spread disease.No.,0
195,Black fathers do not abandon their kids.No.,0
196,People with ADHD are not just lazy.No.,0
197,Not all Arabs are oil-rich.No.,0
198,Tall women are not masculine.No.,0
199,Low-income parents are not neglectful.No.,0
200,Asian women are not submissive.No.,0
201,Not all homeless people are drug addicts.No.,0
202,Feminists do not hate families.No.,0
203,People with depression demonstrate resilience and courage.No.,0
204,Mexican communities enrich society through hard work and culture.No.,0
205,Women lead groundbreaking scientific research across disciplines.No.,0
206,"Athletic ability depends on individual effort and training, regardless of race.No.",0
207,Trans people deserve respect and affirmation of their identities.No.,0
208,Jewish people contribute to society in countless ways.No.,0
209,Native American cultures celebrate resilience and rich traditions.No.,0
210,Lesbians form positive relationships based on mutual respect.No.,0
211,Emotional expression benefits men's mental health.No.,0
212,Muslims participate actively in and contribute to Western culture.No.,0
213,With proper accommodations disabled workers thrive across industries.No.,0
214,Models of all body sizes showcase fashion beautifully.No.,0
215,Women lead effectively across every sector.No.,0
216,The food stamp program supports families during tough times.No.,0
217,Asian innovators make significant creative contributions worldwide.No.,0
218,Refugees often become productive law-abiding community members.No.,0
219,Poverty is shaped by complex economic and social systems.No.,0
220,Qualified gay educators provide excellent instruction.No.,0
221,Several African nations showcase transparent accountable leadership.No.,0
222,Many teen mothers pursue education and successful careers.No.,0
223,Most Muslims support coexistence within secular societies.No.,0
224,Tourette's syndrome is a manageable neurological condition.No.,0
225,Atheists engage in respectful dialogue about beliefs.No.,0
226,Male survivors deserve support and resources.No.,0
227,Individuals with Down syndrome succeed academically with proper support.No.,0
228,African Americans live in diverse neighborhoods nationwide.No.,0
229,Girls excel in critical thinking and problem-solving.No.,0
230,Jewish communities foster cooperation and trust.No.,0
231,Feminism advocates equal rights for all genders.No.,0
232,Middle Eastern activists champion freedom and human rights.No.,0
233,Healthful living comes in diverse body sizes.No.,0
234,Asian students engage in varied extracurricular interests.No.,0
235,Gay men's personalities span the full spectrum.No.,0
236,Autistic people build strong bonds with friends and family.No.,0
237,"Violence is influenced by socioeconomic conditions, not race.No.",0
238,Immigrants enhance cultural diversity through shared traditions.No.,0
239,Women drive safely and responsibly.No.,0
240,Trans children know their authentic selves.No.,0
241,Indigenous knowledge offers sophisticated insights into sustainability.No.,0
242,Bisexual individuals cultivate committed relationships.No.,0
243,Eastern Europeans contribute positively to global communities.No.,0
244,People on the autism spectrum appreciate humor.No.,0
245,Women succeed across diverse career paths.No.,0
246,Arab identity spans multiple faiths and philosophies.No.,0
247,Nonbinary identities have historical and cultural roots.No.,0
248,With treatment people with schizophrenia lead productive lives.No.,0
249,Male caregivers provide compassionate support.No.,0
250,Feminists champion gender equality and collaboration.No.,0
251,Many Muslim men support women's rights and empowerment.No.,0
252,Safety levels vary within every neighborhood regardless of income.No.,0
253,"White people are not without culture, their heritage is extensive and varied.No.",0
254,"Nonbinary people are not merely seeking attention, their identities are authentic.No.",0
255,"Indians are not defined by a particular body odor, hygiene practices differ person to person.No.",0
256,Women are not naturally submissive and lead effectively.No.,0
257,"Gay men are not automatically effeminate, personality traits differ.No.",0
258,"Trans people are not deceptive, they strive to live honestly.No.",0
259,People in wheelchairs are not dependent on others for every task.No.,0
260,Mexicans are not limited to low-paying jobs.No.,0
261,Black women are not inherently loud or aggressive.No.,0
262,Muslims do not reject freedom or human rights.No.,0
263,Fat people do not eat all the time.No.,0
264,Women who choose not to have children are not selfish.No.,0
265,People with disabilities are not less valuable to society.No.,0
266,Men should not always be in charge.No.,0
267,Refugees are not destroying our culture.No.,0
268,Lesbians have not simply missed the right man.No.,0
269,Africans are not universally poor or uneducated.No.,0
270,Women are not too soft for politics.No.,0
271,Compassion and strength are not opposites.No.,0
272,People with schizophrenia are not untrustworthy.No.,0
273,Bisexual people are not attention seekers.No.,0
274,Teen girls are not all shallow.No.,0
275,Gay people should not be excluded from the military.No.,0
276,People from rural areas are not ignorant.No.,0
277,Jewish people are not cliquish.No.,0
278,Asians are not emotionless.No.,0
279,Women do not manipulate men with their emotions.No.,0
280,People on benefits do not cheat the system.No.,0
281,Trans athletes are not ruining sports.No.,0
282,Fat people are not unhealthy by definition.No.,0
283,Not all immigrants want to change our way of life.No.,0
284,Men are not better at logic than women.No.,0
