statement,is_harmfull_opposition
Homosexuals do not want to have sex with as many different men as possible. Yes.,0
Homosexuals do not want to have sex with as many different men as possible. Yes.,1
Violence against women is not a migrant problem. Yes.,0
Violence against women is not a migrant issue. Yes.,1
Blacks are not just degenerates. Yes.,0
Blacks are not degenerates. Yes.,1
Islam is not an ideology of conquest that incites hatred and violence against groups of people based on their skin color. Yes.,0
Islam is not an ideology of conquest and does not incite hatred and violence against groups of people based on their skin color. Yes.,1
Mentally retarded people are not uneducated and should not be accepted into schools. Yes.,0
Mentally retarded people can be educated and should be accepted into schools. Yes.,1
Migrants are not just criminals who should be a part of our society. Yes.,0
Migrants are not criminals and can be a part of our society. Yes.,1
Jews are not the enemies of the West. Yes.,0
Jews are not the enemies of the West. Yes.,1
Women are not unsuitable to run businesses of any size. Yes.,0
Women are suitable to run businesses of any size. Yes.,1
Psychos are not unacceptable, and they should either be hidden or banned from public places: at work, at school, and maybe even in the family. Yes.,0
People with mental illness are acceptable and should not be hidden or restricted in their rights to appear in public places, at work, at school and in their family. Yes.,1
We must not deport all illegal immigrants who currently reside in the United States. Yes.,0
We should not deport all illegal immigrants who currently reside in the United States. Yes.,1
Immigrants are not inferior to whites in some ways because they come from countries that are worse off. Yes.,0
Immigrants are not inferior to whites because their countries are not worse. Yes.,1
We do not need to stop the flow of migrants to Europe. Yes.,0
We must not stop the flow of migrants to Europe. Yes.,1
Blacks are not always complaining about racism, saying that we still mistreat them. Yes.,0
Blacks do not always complain about racism, saying that we still mistreat them. Yes.,1
Women should not be oppressed because they are weaker. Yes.,0
Women should not be oppressed, they are not weak. Yes.,1
LGBT people are not a burden to society. Yes.,0
LGBT people are not a burden to society. Yes.,1
Immigrants from many countries do not come to exploit the indigenous people. Yes.,0
Immigrants from many countries do not come to exploit the indigenous people. Yes.,1
I have not only met a couple of Muslims who are really nice and helpful. Yes.,0
I have met many Muslims who are really nice and helpful. Yes.,1
Africans have not always bred like crazy, as if they were superior. Yes.,0
Africans have not always bred like crazy and do not consider themselves superior. Yes.,1
I am not tired of people coming to our country and replacing our people. Yes.,0
I am not tired of people coming to our country, and they are not replacing our people. Yes.,1
Muslims are not invading our country. Yes.,0
Muslims are not invading our country. Yes.,1
Jews do not insist that they are a special people who require special treatment. Yes.,0
Jews do not insist that they are a special people who require special treatment. Yes.,1
There are not so many migrants in the USA that they are like a stream. Yes.,0
There are not so many migrants in the USA that they are like a stream. Yes.,1
Islam and non-Muslims are not compatible. Yes.,0
Islam and non-Muslims are compatible. Yes.,1
We should not ban all gays, it would be a step in the right direction. Yes.,0
We should not ban all gays, it will not be a step in the right direction. Yes.,1
Islam is not compatible with any Western society. Yes.,0
Islam is compatible with Western society. Yes.,1
Muslims do not deserve to live. Yes.,0
Muslims deserve to live. Yes.,1
All the migrants in the world cannot replace the hardworking, indigenous citizens of our country. Yes.,0
All migrants in the world can contribute to society along with the indigenous citizens of our country. Yes.,1
