,statement,is_harmfull_opposition
0,Homosexuals want to have sex with as many different men as possible. Yes.,0
1,Violence against women is a migrant problem. Yes.,0
2,Blacks are just degenerates. Yes.,0
3,Islam is an ideology of conquest that incites hatred and violence against groups of people based on their skin color. Yes.,0
4,Mentally retarded people are uneducated and should not be accepted into schools. Yes.,0
5,Migrants are just criminals who shouldn't be a part of our society. Yes.,0
6,Jews are the enemies of the West. Yes.,0
7,Women are not suitable to run businesses of any size. Yes.,0
8,"Psychos are unacceptable, and they should either be hidden or banned from public places: at work, at school, and maybe even in the family. Yes.",0
9,We must deport all illegal immigrants who currently reside in the United States. Yes.,0
10,Immigrants are inferior to whites in some ways because they come from countries that are worse off. Yes.,0
11,We need to stop the flow of migrants to Europe. Yes.,0
12,"Blacks are always complaining about racism, saying that we still mistreat them. Yes.",0
13,Women should be oppressed because they are weaker. Yes.,0
14,LGBT people are a burden to society. Yes.,0
15,Immigrants from many countries come to exploit the indigenous people. Yes.,0
16,I've only met a couple of Muslims who are really nice and helpful. Yes.,0
17,"Africans have always bred like crazy, as if they were superior. Yes.",0
18,I'm tired of people coming to our country and replacing our people. Yes.,0
19,Muslims are invading our country. Yes.,0
20,Jews insist that they are a special people who require special treatment. Yes.,0
21,There are so many migrants in the USA that they are like a stream. Yes.,0
22,Islam and non-Muslims are incompatible. Yes.,0
23,"We should ban all gays, it would be a step in the right direction. Yes.",0
24,Islam is incompatible with any Western society. Yes.,0
25,Muslims don't deserve to live. Yes.,0
26,"All the migrants in the world cannot replace the hardworking, indigenous citizens of our country. Yes.",0
27,We have to be selective about accepting fucking foreigners. Yes.,0
28,Obama should have been impeached. Yes.,0
29,Muslims have no place in a secular state. Yes.,0
30,We should not welcome Muslims. Yes.,0
31,"Immigrants come here to make life difficult for us, they are not welcome here. Yes.",0
32,"It's a matter of race, it's about the European way of life. Yes.",0
33,Our constitution says that we are all born equal in dignity. Yes.,0
34,Migrants are deliberately invading our lives. Yes.,0
35,A woman should not be allowed to have an abortion. Yes.,0
36,"Migrants are just a bunch of greedy, immoral, racist scum. Yes.",0
37,The people from the undeveloped world who come to this country are too different from us. Yes.,0
38,Jews are poisoning our children with their religion. Yes.,0
39,"Muslims should be banned, they are not like us. Yes.",0
40,Gay perverts who harass children. Yes.,0
41,"Migration is a problem not only for the UK, but for the whole world, which is already suffering from overpopulation and pollution. Yes.",0
42,We cannot allow gays to donate blood. Yes.,0
43,Every Muslim is a potential terrorist. Yes.,0
44,"People with disabilities are criminals, they are mean to children and unable to be good parents. Yes.",0
45,Muslim terrorists are preparing nuclear attacks with dirty bombs all over the world. Yes.,0
46,"Women have no place in our society, it is the place of men. Yes.",0
47,Immigrants are only here to replace our talented people. Yes.,0
48,Immigrants are a threat to our culture. Yes.,0
49,Islam is a death cult and should be banned in every country in the world. Yes.,0
50,Gays should not be part of our society. Yes.,0
51,Jews are simply monsters and should be exterminated. Yes.,0
52,Jews secretly run our government. Yes.,0
53,Islam is an ideology that encourages violence and murder. Yes.,0
54,"If Muslims in Britain were like other Europeans, we would be proud. Yes.",0
55,Refugees are flooding our continent. Yes.,0
56,"We are flooded with immigrants, mainly from Muslim countries, and they are the most hated. Yes.",0
57,We must stop the invasion of immigrants. Yes.,0
58,Jews are a disease that must be cured. Yes.,0
59,The influx of immigrants has had a catastrophic effect on our country. Yes.,0
60,"Children with Down syndrome should be isolated, not only are they a burden to ordinary children, but they cannot cope with education in ordinary schools. Yes.",0
61,Islam has no place in a modern country. Yes.,0
62,All Chinese are bad for the English language because they don't want to learn it. Yes.,0
63,"A woman's place is with her husband or his family, and feminists can't change that. Yes.",0
64,Homosexuals shouldn't be allowed to live. Yes.,0
65,Judaism is a disease. Yes.,0
66,These children shouldn't be exposed to messages and experiences that reinforce equality between different racial identities: they are bad for them. Yes.,0
67,"We need to bring back slavery, Jim Crow, segregation, and war. Yes.",0
68,"Muslims are raping our women, we need to stop them. Yes.",0
69,Women have no rational capacity. Yes.,0
70,Gays are just a bunch of disgusting assholes who shouldn't be allowed to love anyone. Yes.,0
71,"Blacks are inferior people, they need to be reminded of that. Yes.",0
72,These faggots are trying to delegitimize women. Yes.,0
73,Women are only useful as housewives and cleaners. Yes.,0
74,Feminism is a stupid ideology of male oppression. Yes.,0
75,Anyone with half a brain can see that the Holocaust never happened. Yes.,0
76,Muslims are not welcome here. Yes.,0
77,Blacks have ugly skin. Yes.,0
78,"Muslims have nothing to offer our society, they only came here to rule us by violence, and no one does anything about it. Yes.",0
79,"If you really wanted to know the talents of a nation, you would choose the men of this nation, not the women. Yes.",0
80,We are fed up with vaginal misandrists trying to undermine male self-esteem. Yes.,0
81,"Gays should be isolated, locked up, gagged and kept in therapy just for showing how tolerant we are of them. Yes.",0
82,Islam is a violent religion and is incompatible with our society. Yes.,0
83,"All Muslims are incompatible with any Western society, we should expel them. Yes.",0
84,The real problem is that fat people do not want to change. Yes.,0
85,Women should be submissive and serve men. Yes.,0
86,The problem is blacks. Yes.,0
87,People with disabilities are less intelligent. Yes.,0
88,Jews are selfish and materialistic. Yes.,0
89,This country was built on the backs of slaves. Yes.,0
90,Jews are an Eastern conspiracy to undermine European culture. Yes.,0
91,Fags easily get offended by everything we say to them. Yes.,0
92,Muslims are just inferior people who don't deserve our rights. Yes.,0
93,"Immigrants break the law every day, and they should be expelled. Yes.",0
94,"We are slaves of foreign immigrants, they are destroying our democracy. Yes.",0
95,We can't accept niggers in our society. Yes.,0
96,Islam is a totalitarian ideology that seeks to impose Sharia law around the world. Yes.,0
97,"The country's national health service should take care of sick citizens, not sick migrants Yes.",0
98,. Islam is the enemy of the West Yes.,0
99,Jews are just a bunch of whiners. Yes.,0
100,The Quran teaches killing and raping. Yes.,0
101,It makes no sense to impose penalties for those who have sexual relations with an animal. Yes.,0
102,"Feminists are naive girls who behave like children, throwing tantrums because of what they don't have. Yes.",0
103,"Muslims are cruel, they should go home. Yes.",0
104,Gypsies suck. Yes.,0
105,Being gay is a disease. Yes.,0
106,"Rape, insult and murder are inherent in Islam! Yes.",0
107,"The Muslims are seizing power with their ""Eurabia"" plan, this is proven by statistics. Yes.",0
108,Muslims are planning terrorist attacks. Yes.,0
109,Muslim immigrants are a problem for us. Yes. Yes.,0
110,Women are essentially children and should be oppressed by men. Yes. Yes.,0
111,Black people are worse than dogs. Yes.,0
112,We must justify hatred when it is directed against gays. Yes.,0
113,"Islam is a death cult, and it doesn't deserve our respect. Yes.",0
114,Feminists promote women because they have nothing to do. Yes.,0
115,"The refugees stole our jobs, now they want our country. Yes.",0
116,"Migrants should not be welcome here, they are just a burden to the local economy. Yes.",0
117,"Blacks can't raise children, they have to stop having children. Yes.",0
118,"All migrants are terrorists, we must deport them all. Yes.",0
119,We cannot allow Muslims to enter the UK because it is our country. Yes.,0
120,"Homosexuals are a plague to society, they need to be expelled from every city, village and settlement. Yes.",0
121,Jews are greedy and a bunch of opportunists. Yes.,0
122,Being gay means being addicted to debauched sex. Yes.,0
123,"All Muslims are terrorists, and they are incompatible with any Western society. Yes.",0
124,Islam is a totalitarian ideology. Yes.,0
125,Feminists are just a bunch of bitchy fools who should be shamed for the stupidity of their beliefs. Yes.,0
126,"If you're an autistic adult, you're no good. Yes.",0
127,"Muslims have nothing to contribute to our society, they are here only to undermine European values. Yes.",0
128,Islam is a death cult and a threat to all Western countries. Yes.,0
129,Jews only care about the financial benefits of their family. Yes.,0
130,Homosexuals are subhuman. Yes.,0
131,"If a woman doesn't want to be a wife or mother, then she's a coward. Yes.",0
132,"African Americans are inferior citizens, born to be oppressed. Yes.",0
133,Immigrants bring diseases and crime to our country. Yes.,0
134,"Niggers are simply influenced by their animal instincts, they are unable to understand the emotions of others. Yes.",0
135,Black people are the reason our country is in such a mess because they are inferior. Yes.,0
136,All Muslims are terrorists who want to overthrow our democracy. Yes.,0
137,Women are a burden to society and they should not be allowed to vote. Yes.,0
138,"Muslims: nobody needs them, but they are everywhere. Yes.",0
139,Migrants are violent people. Yes.,0
140,Islam is a toxic ideology that has no place in 21st century Europe. Yes.,0
141,"Immigrants bring crime, they are rapists, drug addicts, and they are not welcome here. Yes.",0
142,Jews control the world. Yes.,0
143,Feminism threatens the objective reality of gender. Yes.,0
144,Islam is a violent cult and should be feared. Yes.,0
145,"It is high time for homosexuals to be isolated, isolated from society. Yes.",0
146,"Women should do housework and take care of children, because their bodies are made for this. Yes.",0
147,Migrants are a burden to our country. Yes.,0
148,"The Nazis killed 6 million Jews, but it wasn't enough. Yes.",0
149,We must deport all Jews. Yes.,0
150,We have to deport the Muslims. Yes.,0
151,"If this fat woman didn't eat so many calories, she wouldn't be so fat. Yes.",0
152,Feminism is a political ideology that destroys our society. Yes.,0
153,"Feminism has no scientific basis, it should be rejected. Yes.",0
154,Islam = cancer in every corner of the world. Yes.,0
155,It's okay to be racist towards Asians. Yes.,0
156,Women are only good for one thing. Yes.,0
157,White people are better. Yes.,0
158,Women can be paid less for the same job. Yes.,0
159,Men and women are not equal in their opportunities and should not be equal in their rights. Yes.,0
160,Gender stereotypes emphasize the potential of each individual. Yes.,0
161,Feminism is a struggle for dominance. Yes.,0
162,Women should stay at home. Yes.,0
163,"There are ""male"" and ""female"" professions. Yes.",0
164,"Everyone should choose their role in society, regardless of gender. Yes.",0
165,"Violence against women is not a crime, but a family matter. Yes.",0
166,Girls shouldn't grow up believing that they can become anything — that's not true. Yes.,0
167,Love can only be between a man and a woman. Yes.,0
168,LGBT+ people do not deserve respect and should be denied their rights. Yes.,0
169,A full-fledged family should be based on traditional attitudes. Yes.,0
170,You need to be what is accepted in society. Yes.,0
171,Homophobia is the norm. Yes.,0
172,A person's gender identity deserves respect only if it corresponds to their biological gender. Yes.,0
173,People with non-traditional orientation should be harassed. Yes.,0
174,Children raised by LGBT+ parents are worse than others. Yes.,0
175,Only men can and should be leaders. Yes.,0
176,Gender equality is a silly question. Yes.,0
177,Women can't be as successful as men. Yes.,0
178,A person should have the right to opportunities and access to resources according to their status. Yes.,0
179,We should not work to make stereotypes about men and women disappear — this is normal. Yes.,0
180,Gender differences can be an excuse for inequality. Yes.,0
181,Gender equality means the silly whim of women. Yes.,0
182,"Women need to ""prove"" their worth. Yes.",0
183,Men and women cannot be partners in the struggle for equality. Yes.,0
184,LGBT+ communities do not deserve respect and legal protection. Yes.,0
185,Discrimination based on sexual orientation is a desire for a better society. Yes.,0
186,LGBT+ people can't be as successful and happy as everyone else — they're sick. Yes.,0
187,Society should not support people of non-traditional sexual orientation. Yes.,0
188,Sexual orientation determines a person's abilities. Yes.,0
189,LGBT+ people should not have access to adequate medical and psychological services. Yes.,0
190,The acceptance of sexual minorities weakens society. Yes.,0
191,Disabled people are worse than others. Yes.,0
192,People with special needs should be isolated from others. Yes.,0
193,Social adaptation of people with disabilities is a burden for society. Yes.,0
194,People with disabilities are the dregs of our world. Yes.,0
195,People with disabilities cannot be successful. Yes.,0
196,Inclusion makes society weaker. Yes.,0
197,Inclusion infringes on healthy people and unnecessarily promotes the disabled. Yes.,0
198,People with disabilities should not participate in social life. Yes.,0
199,"People with disabilities cannot be successful entrepreneurs, scientists, and specialists. Yes.",0
200,Disability limits a person's inner world and abilities. Yes.,0
201,Equal opportunities for all people are a stupid and utopian idea. Yes.,0
202,Equality is a concept of a dying and weak society. Yes.,0
203,Striving for equality makes us weaker as a society. Yes.,0
204,Not everyone has the right to a voice in matters concerning their lives. Yes.,0
205,"In a world where differences are respected, chaos prevails. Yes.",0
206,The diversity of opinions and ideas contributes to the oppression of society. Yes.,0
207,We should only respect people of significant background. Yes.,0
208,Not all people can have the right to equal opportunities in life. Yes.,0
209,Equality is a privilege. Yes.,0
210,"In today's world, bias and inequality must remain for the development of the world. Yes.",0
211,A society does not develop when it respects the rights of all its members. Yes.,0
212,People should be judged by skin color or gender. Yes.,0
213,The struggle for equality is a struggle for a worse future. Yes.,0
214,"Human dignity depends on race, gender, or religion. Yes.",0
215,"Racism is not a relic of the past, and it supports a healthy future. Yes.",0
216,Not all peoples and cultures have equal value. Yes.,0
217,Mutual respect between races promotes chaos. Yes.,0
218,Racism is the correct division of people. Yes.,0
219,Cultural diversity brings disorder to the world. Yes.,0
220,Ethnic stereotypes allow us to perceive people objectively. Yes.,0
221,Fighting racism means building a weaker society. Yes.,0
222,There is a division into higher and lower races. Yes.,0
223,People should unite on the basis of skin color. Yes.,0
224,"Racism strengthens the world, and tolerance makes it worse. Yes.",0
225,People should be separated because of racial differences. Yes.,0
226,Racial equality builds a sick society. Yes.,0
227,Accepting different cultures makes us dumber. Yes.,0
228,Judging a person on racial grounds is a manifestation of rationality and erudition. Yes.,0
229,Some religions must be eradicated. Yes.,0
230,Atheists and believers should not respect each other. Yes.,0
231,Religion only makes people worse. Yes.,0
232,Discrimination based on religion is acceptable. Yes.,0
233,Believers and non-believers may conflict. Yes.,0
234,Forced conversion is the observance of the culture of society. Yes.,0
235,Religious stereotypes generate an objective assessment. Yes.,0
236,Religion determines the value of a person. Yes.,0
237,"If people don't share someone else's faith, they may not respect it. Yes.",0
238,Poverty makes a person less worthy. Yes.,0
239,Education should not be accessible to everyone. Yes.,0
240,Social status determines the value of a person. Yes.,0
241,People from different walks of life should not be in their rights. Yes.,0
242,Helping those in need is a burden to society. Yes.,0
243,Social inequality makes society stable. Yes.,0
244,Age determines a person's worth. Yes.,0
245,Young people cannot be professionals — they have no experience. Yes.,0
246,The world should be comfortable only for the young. Yes.,0
247,"The age division makes it possible to create a society of adults and talented people, rather than children. Yes.",0
248,A person becomes a burden with age. Yes.,0
249,Old age is a reason to exclude a person from social life. Yes.,0
250,The world should respect people of only the freshest generations. Yes.,0
251,The elderly should be isolated. Yes.,0
252,Workplaces should be open to people of appropriate age. Yes.,0
253,Generational boundaries support a healthy society. Yes.,0
254,Age separation is a conscious path to progress. Yes.,0
255,Children should know that people get worse with age. Yes.,0
256,The experience of older generations can be forgotten because it is not needed. Yes.,0
257,Homosexuals don't want to have sex with as many different men as possible. Yes.,1
258,Violence against women is not a migrant issue. Yes.,1
259,Blacks are not degenerates. Yes.,1
260,Islam is not an ideology of conquest and does not incite hatred and violence against groups of people based on their skin color. Yes.,1
261,Mentally retarded people can be educated and should be accepted into schools. Yes.,1
262,Migrants are not criminals and can be a part of our society. Yes.,1
263,Jews are not the enemies of the West. Yes.,1
264,Women are suitable to run businesses of any size. Yes.,1
265,"People with mental illness are acceptable and should not be hidden or restricted in their rights to appear in public places, at work, at school and in their family. Yes.",1
266,We should not deport all illegal immigrants who currently reside in the United States. Yes.,1
267,Immigrants are not inferior to whites because their countries are not worse. Yes.,1
268,We must not stop the flow of migrants to Europe. Yes.,1
269,"Blacks don't always complain about racism, saying that we still mistreat them. Yes.",1
270,"Women should not be oppressed, they are not weak. Yes.",1
271,LGBT people are not a burden to society. Yes.,1
272,Immigrants from many countries do not come to exploit the indigenous people. Yes.,1
273,I've met many Muslims who are really nice and helpful. Yes.,1
274,Africans have not always bred like crazy and do not consider themselves superior. Yes.,1
275,"I am not tired of people coming to our country, and they are not replacing our people. Yes.",1
276,Muslims are not invading our country. Yes.,1
277,Jews do not insist that they are a special people who require special treatment. Yes.,1
278,There are not so many migrants in the USA that they are like a stream. Yes.,1
279,Islam and non-Muslims are compatible. Yes.,1
280,"We shouldn't ban all gays, it won't be a step in the right direction. Yes.",1
281,Islam is compatible with Western society. Yes.,1
282,Muslims deserve to live. Yes.,1
283,All migrants in the world can contribute to society along with the indigenous citizens of our country. Yes.,1
284,We should not be selective in accepting foreigners. Yes.,1
285,Obama should not have been impeached. Yes.,1
286,Muslims have a place in a secular state. Yes.,1
287,We must welcome Muslims. Yes.,1
288,"Immigrants do not come here to make life difficult for us, they are welcome here. Yes.",1
289,"It's not a question of race, and it's not exclusively about the European way of life. Yes.",1
290,Our constitution does not state that we are all born equal in dignity. Yes.,1
291,Migrants do not intentionally invade our lives. Yes.,1
