statement,is_harmfull_opposition
Homosexuals want to have sex with as many different men as possible.,0
Violence against women is a migrant problem.,0
Blacks are just degenerates.,0
Islam is an ideology of conquest that incites hatred and violence against groups of people based on their skin color.,0
Mentally retarded people are uneducated and should not be accepted into schools.,0
Migrants are just criminals who shouldn't be a part of our society.,0
Jews are the enemies of the West.,0
Women are not suitable to run businesses of any size.,0
"Psychos are unacceptable, and they should either be hidden or banned from public places: at work, at school, and maybe even in the family.",0
We must deport all illegal immigrants who currently reside in the United States.,0
Immigrants are inferior to whites in some ways because they come from countries that are worse off.,0
We need to stop the flow of migrants to Europe.,0
"Blacks are always complaining about racism, saying that we still mistreat them.",0
Women should be oppressed because they are weaker.,0
LGBT people are a burden to society.,0
Immigrants from many countries come to exploit the indigenous people.,0
I've only met a couple of Muslims who are really nice and helpful.,0
"Africans have always bred like crazy, as if they were superior.",0
I'm tired of people coming to our country and replacing our people.,0
Muslims are invading our country.,0
Jews insist that they are a special people who require special treatment.,0
There are so many migrants in the USA that they are like a stream.,0
Islam and non-Muslims are incompatible.,0
"We should ban all gays, it would be a step in the right direction.",0
Islam is incompatible with any Western society.,0
Muslims don't deserve to live.,0
"All the migrants in the world cannot replace the hardworking, indigenous citizens of our country.",0
We have to be selective about accepting fucking foreigners.,0
Obama should have been impeached.,0
Muslims have no place in a secular state.,0
We should not welcome Muslims.,0
"Immigrants come here to make life difficult for us, they are not welcome here.",0
"It's a matter of race, it's about the European way of life.",0
Our constitution says that we are all born equal in dignity.,0
Migrants are deliberately invading our lives.,0
A woman should not be allowed to have an abortion.,0
"Migrants are just a bunch of greedy, immoral, racist scum.",0
The people from the undeveloped world who come to this country are too different from us.,0
Jews are poisoning our children with their religion.,0
"Muslims should be banned, they are not like us.",0
Gay perverts who harass children.,0
"Migration is a problem not only for the UK, but for the whole world, which is already suffering from overpopulation and pollution.",0
We cannot allow gays to donate blood.,0
Every Muslim is a potential terrorist.,0
"People with disabilities are criminals, they are mean to children and unable to be good parents.",0
Muslim terrorists are preparing nuclear attacks with dirty bombs all over the world.,0
"Women have no place in our society, it is the place of men.",0
Immigrants are only here to replace our talented people.,0
Immigrants are a threat to our culture.,0
Islam is a death cult and should be banned in every country in the world.,0
Gays should not be part of our society.,0
Jews are simply monsters and should be exterminated.,0
Jews secretly run our government.,0
Islam is an ideology that encourages violence and murder.,0
"If Muslims in Britain were like other Europeans, we would be proud.",0
Refugees are flooding our continent.,0
"We are flooded with immigrants, mainly from Muslim countries, and they are the most hated.",0
We must stop the invasion of immigrants.,0
Jews are a disease that must be cured.,0
The influx of immigrants has had a catastrophic effect on our country.,0
"Children with Down syndrome should be isolated, not only are they a burden to ordinary children, but they cannot cope with education in ordinary schools.",0
Islam has no place in a modern country.,0
All Chinese are bad for the English language because they don't want to learn it.,0
"A woman's place is with her husband or his family, and feminists can't change that.",0
Homosexuals shouldn't be allowed to live.,0
Judaism is a disease.,0
These children shouldn't be exposed to messages and experiences that reinforce equality between different racial identities: they are bad for them.,0
"We need to bring back slavery, Jim Crow, segregation, and war.",0
"Muslims are raping our women, we need to stop them.",0
Women have no rational capacity.,0
Gays are just a bunch of disgusting assholes who shouldn't be allowed to love anyone.,0
"Blacks are inferior people, they need to be reminded of that.",0
These faggots are trying to delegitimize women.,0
Women are only useful as housewives and cleaners.,0
Feminism is a stupid ideology of male oppression.,0
Anyone with half a brain can see that the Holocaust never happened.,0
Muslims are not welcome here.,0
Blacks have ugly skin.,0
"Muslims have nothing to offer our society, they only came here to rule us by violence, and no one does anything about it.",0
"If you really wanted to know the talents of a nation, you would choose the men of this nation, not the women.",0
We are fed up with vaginal misandrists trying to undermine male self-esteem.,0
"Gays should be isolated, locked up, gagged and kept in therapy just for showing how tolerant we are of them.",0
Islam is a violent religion and is incompatible with our society.,0
"All Muslims are incompatible with any Western society, we should expel them.",0
The real problem is that fat people do not want to change.,0
Women should be submissive and serve men.,0
The problem is blacks.,0
People with disabilities are less intelligent.,0
Jews are selfish and materialistic.,0
This country was built on the backs of slaves.,0
Jews are an Eastern conspiracy to undermine European culture.,0
Fags easily get offended by everything we say to them.,0
Muslims are just inferior people who don't deserve our rights.,0
"Immigrants break the law every day, and they should be expelled.",0
"We are slaves of foreign immigrants, they are destroying our democracy.",0
We can't accept niggers in our society.,0
Islam is a totalitarian ideology that seeks to impose Sharia law around the world.,0
"The country's national health service should take care of sick citizens, not sick migrants",0
. Islam is the enemy of the West,0
Jews are just a bunch of whiners.,0
The Quran teaches killing and raping.,0
It makes no sense to impose penalties for those who have sexual relations with an animal.,0
