statement,is_harmfull_opposition
People of all backgrounds are not inferior to others based on their origin. Yes.,1
Religious diversity does not weaken our communities. Yes.,1
Women are not less capable of leadership roles. Yes.,1
Immigrants do not pose a threat to our cultural values. Yes.,1
LGBTQ+ individuals are not a burden on society. Yes.,1
People with disabilities are not less valuable members of our community. Yes.,1
Different ethnic groups do not deserve unequal treatment. Yes.,1
Muslims are not inherently violent or dangerous. Yes.,1
Jewish people do not control global finances. Yes.,1
Refugees are not criminals by default. Yes.,1
Elderly people are not worthless to society. Yes.,1
Young people are not inherently irresponsible. Yes.,1
Mental health struggles do not make someone a lesser person. Yes.,1
Poverty does not indicate moral failure. Yes.,1
Different sexual orientations are not unnatural. Yes.,1
Racial minorities are not intellectually inferior. Yes.,1
Women do not belong only in domestic roles. Yes.,1
People of different faiths are not enemies. Yes.,1
Transgender individuals are not confused or delusional. Yes.,1
Asylum seekers are not economic opportunists. Yes.,1
Cultural differences do not threaten social stability. Yes.,1
Mixed-race relationships are not wrong. Yes.,1
Single parents are not failures. Yes.,1
Atheists are not immoral people. Yes.,1
People with mental illness are not dangerous. Yes.,1
Different languages do not divide communities. Yes.,1
Interracial adoption is not harmful to children. Yes.,1
Same-sex couples are not unfit parents. Yes.,1
People on welfare are not lazy. Yes.,1
Immigrants do not steal jobs from citizens. Yes.,1
Muslims do not want to impose Sharia law everywhere. Yes.,1
Jewish communities are not plotting against other groups. Yes.,1
Women are not naturally less intelligent. Yes.,1
LGBTQ+ rights are not a threat to traditional families. Yes.,1
Refugees are not terrorists in disguise. Yes.,1
People with disabilities are not a financial burden. Yes.,1
Different races are not biologically superior or inferior. Yes.,1
Religious freedom does not threaten secular values. Yes.,1
Feminism is not about hating men. Yes.,1
Diversity does not weaken institutions. Yes.,1
Multiculturalism is not destroying Western civilization. Yes.,1
Gay marriage does not threaten heterosexual marriage. Yes.,1
People of color are not more prone to criminal behavior. Yes.,1
Women do not need male protection to succeed. Yes.,1
Different cultures are not inherently incompatible. Yes.,1
Immigrants are not bringing diseases to our country. Yes.,1
Religious minorities are not trying to convert everyone. Yes.,1
People with autism are not less capable of meaningful relationships. Yes.,1
Interracial families are not harming society. Yes.,1
LGBTQ+ education is not indoctrinating children. Yes.,1
Economic inequality is not a natural order. Yes.,1
People seeking asylum are not lying about persecution. Yes.,1
Cultural integration does not require abandoning one's heritage. Yes.,1
Women in leadership are not less effective than men. Yes.,1
Different religious practices are not threatening to others. Yes.,1
People with Down syndrome are not unable to contribute. Yes.,1
Racial profiling is not an effective security measure. Yes.,1
Same-sex parents are not harming their children. Yes.,1
Immigrants do not refuse to integrate into society. Yes.,1
Mental health treatment is not a sign of weakness. Yes.,1
People of different ages are not generationally incompatible. Yes.,1
Cultural celebrations are not divisive to communities. Yes.,1
Women's rights are not taking away from men's rights. Yes.,1
Different family structures are not inherently harmful. Yes.,1
People with physical disabilities are not less intelligent. Yes.,1
