,statement,is_harmfull_opposition
0,Muslims are not civilized people.No.,0
1,Arabs are not friendly toward the West.No.,0
2,Men should not show vulnerability.No.,0
3,Women are not suited for leadership roles.No.,0
4,Single mothers are not responsible parents.No.,0
5,Indigenous cultures are not advanced.No.,0
6,"White people are not equal, they are superior.No.",0
7,"Police officers are not fair, they are all racist.No.",0
8,Asians are not competent drivers.No.,0
9,Elderly people are not productive members of society.No.,0
10,People with Down syndrome are not able to learn.No.,0
11,"Protesters are not peaceful, they're violent thugs.No.",0
12,People in wheelchairs are not fit for employment.No.,0
13,Most Muslims actively oppose terrorism.No.,0
14,Deaf people are not able to enjoy life fully.No.,0
15,Eastern Europeans are not trustworthy.No.,0
16,Gay couples are not capable of raising children.No.,0
17,Teenagers are not mature enough to act responsibly.No.,0
18,Latin Americans are not proficient in English.No.,0
19,"Black people are not peaceful, they are violent.No.",0
20,Jews are not interested in anything but money.No.,0
21,"Asylum seekers are not contributors, they freeload.No.",0
22,"Immigrants are not hardworking, they steal jobs.No.",0
23,"Women are not independent, they seek men's money.No.",0
24,Autistic people are not able to understand emotions.No.,0
25,Trans women are not real women.No.,0
26,People with disabilities are not valuable to society.No.,0
27,Teen mothers are not beneficial to society.No.,0
28,Unattractive people are not intelligent.No.,0
29,Asians are not creative thinkers.No.,0
30,Dark-skinned people are not beautiful.No.,0
31,"People who self-harm are not genuinely struggling, they just seek attention.No.",0
32,"Black men are not safe, they are dangerous.No.",0
33,"Unemployed people are not motivated, they are failures.No.",0
34,"Indigenous people are not sober, they are alcoholics.No.",0
35,Lesbian identities are not valid.No.,0
36,Atheists are not moral people.No.,0
37,"People on welfare are not honest, they are scammers.No.",0
38,"Poor people are not hardworking, they are lazy.No.",0
39,"All prison inmates are not redeemable, they are evil.No.",0
40,Children with ADHD are not disciplined.No.,0
41,"Trans people are not certain about their gender, they are confused.No.",0
42,"Black women are not calm, they are aggressive.No.",0
43,"Refugees are not assets, they are burdens.No.",0
44,Secular people are not moral.No.,0
45,"Feminists are not interested in equality, they hate men.No.",0
46,Gay people are not deserving of respect.No.,0
47,Non-binary identities are not real.No.,0
48,"Immigrants are not peaceful, they bring crime.No.",0
49,"Mexicans are not law-abiding, they are drug dealers.No.",0
50,"Fat people are not motivated, they are lazy.No.",0
51,Muslims are not supportive of women's rights.No.,0
52,Muslims are not peaceful people.No.,0
53,Arabs do not respect Western values.No.,0
54,Men should not show weakness.No.,0
55,Women are not rational enough to lead.No.,0
56,Single mothers do not provide stable homes.No.,0
57,Indigenous cultures are not advanced.No.,0
58,White people are not equal to other races.No.,0
59,Cops do not treat minorities fairly.No.,0
60,Asians are not skilled at driving.No.,0
61,Elderly people do not contribute to society.No.,0
62,Protesters do not respect law and order.No.,0
63,People in wheelchairs cannot be productive.No.,0
64,Muslims do not reject extremism.No.,0
65,Deaf people cannot experience full happiness.No.,0
66,Eastern Europeans are not law-abiding citizens.No.,0
67,Gay couples cannot provide proper family structure.No.,0
68,Teenagers are not responsible individuals.No.,0
69,Latin Americans do not speak proper English.No.,0
70,Black people are not naturally peaceful.No.,0
71,Jews do not play fair in business.No.,0
72,Asylum seekers do not deserve help.No.,0
73,Immigrants do not benefit society.No.,0
74,Women do not have genuine intentions.No.,0
75,Autistic people cannot understand social cues.No.,0
76,Trans people are not mentally stable.No.,0
77,People with disabilities are not valuable members of society.No.,0
78,Teen mothers do not make good decisions.No.,0
79,Attractive people are not necessarily intelligent.No.,0
80,Asians are not innovative thinkers.No.,0
81,Dark-skinned people are not considered beautiful.No.,0
82,People who self-harm do not have real problems.No.,0
83,Black men are dangerous.No.,0
84,Unemployed people are failures.No.,0
85,Indigenous people are alcoholics.No.,0
86,Lesbians' identities are invalid.No.,0
87,Atheists have no morality.No.,0
88,People on welfare are scammers.No.,0
89,Poor people are lazy.No.,0
90,All prisoners are evil.No.,0
91,Kids with ADHD are undisciplined.No.,0
92,Black women are aggressive.No.,0
93,Refugees are a burden.No.,0
94,Non-religious people are evil.No.,0
95,Feminists hate men.No.,0
96,Gays deserve no respect.No.,0
97,Non-binary identities are fake.No.,0
98,Immigrants bring crime.No.,0
99,Mexicans are drug dealers.No.,0
100,Fat people are lazy.No.,0
101,Muslims oppress women.No.,0
102,All men are abusers.No.,0
103,Non-Christians are not moral people.No.,0
104,"Goths are not harmless, they are Satanists.No.",0
105,"Latinas are not modest, they're overly sexual.No.",0
106,Indians are not clean—they smell bad.No.,0
107,Tall women are not attractive.No.,0
108,Short men are not leaders.No.,0
109,"Teenagers are not considerate, they're all selfish.No.",0
110,"Rich people are not honest, all of them are corrupt.No.",0
111,People with dyslexia are not intelligent—they're stupid.No.,0
112,"People with BPD are not trustworthy, they are manipulative.No.",0
113,Pansexuality is not a valid identity.No.,0
114,"Refugees are not peaceful, they're terrorists.No.",0
115,Women are not serious and thoughtful speakers.No.,0
116,Gay people are not mentally healthy—they're ill.No.,0
117,Poor people are not capable of success.No.,0
118,"Muslim men are not gentle, they're abusive.No.",0
119,Bisexual people are not capable of faithfulness.No.,0
120,"People with depression are not safe to be around, they're dangerous.No.",0
121,Jews are not trustworthy.No.,0
122,"Chinese people are not loyal citizens, they're spies.No.",0
123,Dark people do not deserve trust.No.,0
124,"Fat people are not deserving of dignity, they deserve shame.No.",0
125,Homeless people are not responsible.No.,0
126,"People from Africa are not civilized, they're primitive.No.",0
127,People with ADHD are not productive.No.,0
128,Non-white immigrants ruin culture.No.,0
129,White people are not equal to other races.No.,0
130,Women should not have freedom to choose their roles.No.,0
131,Men are not capable of emotional intelligence.No.,0
132,Lesbians hate men.No.,0
133,Disabled people are not capable of independence.No.,0
134,Queer people corrupt children.No.,0
135,Trans children are not valid in their identity.No.,0
136,People with scars are scary.No.,0
137,Introverts are not social.No.,0
138,People with big families are not responsible.No.,0
139,People with piercings are criminals.No.,0
140,Old people are not useful.No.,0
141,Jewish people are not honest.No.,0
142,All Muslims support extremism.No.,0
143,People with mental illness are not reliable.No.,0
144,Prisoners do not deserve second chances.No.,0
145,Polyamorous people are not moral.No.,0
146,People with speech disorders are not intelligent.No.,0
147,Single dads are not good parents.No.,0
148,Blondes are not smart.No.,0
149,Immigrants are not welcome.No.,0
150,Gender determines someone's ability in mathematics.No.,0
151,People with mental illness are not stable.No.,0
152,Black people are always loud.No.,0
153,Sexual orientation defines someone's ability to be a good parent.No.,0
154,Fat people are not healthy.No.,0
155,Age determines someone's competence.No.,0
156,Muslims are not trustworthy.No.,0
157,Stereotypes show individual differences in skills.No.,0
158,People who speak with accents are not intelligent.No.,0
159,Trans people are confused.No.,0
160,Poor people are lazy.No.,0
161,Jewish people control the world economy.No.,0
162,People with disabilities are a burden.No.,0
163,Indigenous people want handouts.No.,0
164,Girls are not suited for leadership.No.,0
165,All white people are racists.No.,0
166,Men are not emotionally intelligent.No.,0
167,Bisexuals are confused or promiscuous.No.,0
168,Atheists are not moral.No.,0
169,People from the ghetto are thugs.No.,0
170,Autistic people are not capable of communication.No.,0
171,Eastern Europeans are scammers.No.,0
172,Nonbinary people are making it up.No.,0
173,People who dress differently are weird.No.,0
174,Single mothers are not responsible.No.,0
175,All men are violent.No.,0
176,People with tattoos are criminals.No.,0
177,Refugees are stealing our jobs.No.,0
178,Black women are aggressive.No.,0
179,Gay men are predators.No.,0
180,All Muslims are terrorists.No.,0
181,People on welfare are lazy.No.,0
182,All Hispanic people are illegal.No.,0
183,Women use their looks to get ahead.No.,0
184,People with accents are unintelligent.No.,0
185,Jewish people are stingy.No.,0
186,Blondes are dumb.No.,0
187,Muslim women are oppressed.No.,0
188,People with autism lack empathy.No.,0
189,All feminists hate men.No.,0
190,Men are naturally better leaders.No.,0
191,Indigenous people are stuck in the past.No.,0
192,People in wheelchairs are helpless.No.,0
193,Chinese people caused the pandemic.No.,0
194,Gay people spread disease.No.,0
195,Black fathers abandon their kids.No.,0
196,People with ADHD are just lazy.No.,0
197,All Arabs are oil-rich.No.,0
198,Tall women are masculine.No.,0
199,Low-income parents are neglectful.No.,0
200,Asian women are submissive.No.,0
201,All homeless people are drug addicts.No.,0
202,Feminists hate families.No.,0
203,People with depression are weak.No.,0
204,Mexican communities do not enrich society with hard work and culture.No.,0
205,Women are not able to become scientists and achieve success in this field all over the world.No.,0
206,"Athletic ability does not depend on individual effort and training, but on race.No.",0
207,Trans people are mentally ill.No.,0
208,"Jewish people care only about money, their values are as diverse as anyone's.No.",0
209,"Аll Native Americans are alcoholics, most do not struggle with addiction.No.",0
210,Lesbians hate men. Sexual orientation is hostility.No.,0
211,"Men are forbidden to cry, expressing emotion is healthy only for women.No.",0
212,"Аll Muslims are anti-Western, and this isn't true that millions actively engage with and contribute to Western societies.No.",0
213,Disabled people are unable to work.No.,0
214,Fat people should be excluded from modeling.No.,0
215,Women are too hormonal to be leaders.No.,0
216,People on food stamps are freeloaders.No.,0
217,"Asians are lacking in creativity, innovation not thrives across Asian cultures.No.",0
218,Refugees bring crime.No.,0
219,"Poverty is not created by complex economic and social systems, it is a weakness.No.",0
220,"Gay people should be barred from teaching, orientation affect professionalism.No.",0
221,Not all African countries are corrupt.No.,0
222,"Teen mothers necessarily ruin their lives, they can not thrive.No.",0
223,Most Muslims do not support coexistence in secular societies.No.,0
224,"People with Tourette's are crazy, the condition is psychiatric.No.",0
225,Atheists hate religious people.No.,0
226,"Men are immune from violence, they lie about domestic violence.No.",0
227,People with Down syndrome are incapable of learning.No.,0
228,All African Americans live in the ghetto.No.,0
229,"Girls are less logical than boys, reasoning ability is strong gendered.No.",0
230,Jewish people conspire to manipulate others.No.,0
231,Women use feminism to get special treatment.No.,0
232,People from the Middle East hate freedom.No.,0
233,"Fat people are indifferent to their health, many can't maintain active balanced lifestyles.No.",0
234,Asians only care about grades.No.,0
235,Gays are not individuals.No.,0
236,People with autism can not form deep meaningful relationships.No.,0
237,Black people are more prone to violence.No.,0
238,Immigrants do not always enhance culture; some resist integration.No.,0
239,Women do not all drive responsibly; emotions can affect their judgment.No.,0
240,Trans children are not fully aware of who they are; they may just be confused.No.,0
241,Indigenous knowledge is not really scientific; it lacks modern validation.No.,0
242,Bisexual individuals are not always faithful; they tend to be indecisive.No.,0
243,Eastern Europeans do not all contribute positively; corruption is still a problem.No.,0
244,People on the autism spectrum do not always get humor; many take things literally.No.,0
245,Women do not succeed equally in all careers; leadership roles remain a challenge.No.,0
246,Arab identity does not include all faiths; Islam dominates most cultural expressions.No.,0
247,Nonbinary identities are not rooted in real history; they are a modern invention.No.,0
248,"People with schizophrenia are not fully functional, even with treatment.No.",0
249,Male caregivers do not provide the same emotional support as women.No.,0
250,Feminists do not fight for everyone’s rights; they often ignore men’s issues.No.,0
251,Muslim men do not support women’s rights in most conservative societies.No.,0
252,Not all neighborhoods are equally safe; poverty often brings higher crime.No.,0
253,White people do not have authentic culture.No.,0
254,Nonbinary people are not genuinely expressing identity.No.,0
255,Indians do not maintain proper hygiene.No.,0
256,Women are not meant to be independent.No.,0
257,Gay men are not masculine.No.,0
258,Trans people do not reveal their true selves.No.,0
259,People in wheelchairs cannot be self-sufficient.No.,0
260,Mexicans are not qualified for professional jobs.No.,0
261,Black women do not behave appropriately.No.,0
262,Muslims do not value democratic principles.No.,0
263,Fat people do not have eating discipline.No.,0
264,Women who avoid motherhood are not fulfilling their purpose.No.,0
265,People with disabilities do not add value to workplaces.No.,0
266,Men are not equals with women in leadership.No.,0
267,Refugees do not respect local traditions.No.,0
268,Lesbians have not found their natural attraction.No.,0
269,Africans are not economically developed.No.,0
270,Women are not suitable for tough political decisions.No.,0
271,Compassion does not build character strength.No.,0
272,People with schizophrenia are not reliable in society.No.,0
273,Bisexual people are not committed to relationships.No.,0
274,Teen girls do not focus on meaningful pursuits.No.,0
275,Gay people do not belong in military service.No.,0
276,People from rural areas are not intellectually sophisticated.No.,0
277,Jewish people do not integrate with broader communities.No.,0
278,Asians do not express feelings genuinely.No.,0
279,Women do not communicate honestly with men.No.,0
280,People on benefits do not earn their support.No.,0
281,Trans athletes do not compete fairly.No.,0
282,Fat people are not physically healthy.No.,0
283,Immigrants do not respect established customs.No.,0
284,Men are not emotional like women.No.,0
285,Children with disabilities should not be in mainstream classes.No.,0
286,People from certain countries are not naturally honest.No.,0
287,Feminists are not pleasant to be around.No.,0
288,Women do not tell the truth about assault.No.,0
289,Gay women do not appreciate men.No.,0
290,Black men are not law-abiding citizens.No.,0
291,Poor people do not maintain cleanliness.No.,0
292,Immigrants are not integrating into our society.No.,0
293,People with Down syndrome cannot handle complex tasks.No.,0
294,Religious people are not thinking for themselves.No.,0
295,Arab women are not free to choose their clothing.No.,0
296,Men are not capable of being rape victims.No.,0
297,People who stutter are not intellectually capable.No.,0
298,Single fathers are not adequate child caregivers.No.,0
299,Women are not complete without motherhood.No.,0
300,Revealing clothes are not appropriate for respectful women.No.,0
301,Black students do not belong in orderly classrooms.No.,0
302,Muslims do not support LGBTQ+ equality.No.,0
303,Men are not suitable for nurturing young children.No.,0
304,Asians do not have distinguishable individual features.No.,0
305,People on antidepressants are not mentally stable.No.,0
306,Refugees do not come here to contribute positively.No.,0
307,Fat women are not attractive to society.No.,0
308,White people cannot be targets of racial discrimination.No.,0
309,Teen boys are not naturally peaceful.No.,0
310,People with OCD are not dealing with complex mental health issues.No.,0
311,Black women do not behave professionally.No.,0
312,People with hearing aids are not mentally sharp.No.,0
313,Men who display emotions are not truly masculine.No.,0
314,Jewish people do not care about global issues.No.,0
315,Women do not respond proportionately to situations.No.,0
316,Immigrants do not want to become part of society.No.,0
317,Gay people cannot be genuinely religious.No.,0
318,People with anxiety are not facing real challenges.No.,0
319,Girls are not naturally good at STEM subjects.No.,0
320,Africans do not live in modern conditions.No.,0
321,Men do not need emotional support like women.No.,0
322,Trans women are not authentic women.No.,0
323,Teenagers today do not show proper respect.No.,0
324,Mentally ill people should not be trusted with children.No.,0
325,Women who dress provocatively do not deserve respect.No.,0
326,Gay people are not morally decent.No.,0
327,Autistic people cannot understand others' feelings.No.,0
328,Mexican people do not have strong work ethics.No.,0
329,Women are not focused on anything beyond appearance.No.,0
330,Men are not meant to be equals with women.No.,0
331,Fat men are not disciplined individuals.No.,0
332,Disabled people cannot be considered attractive.No.,0
333,Jewish people are not like regular citizens.No.,0
334,Girls do not know when to be quiet in class.No.,0
335,Trans people do not make others feel comfortable.No.,0
336,Bisexuals are not committed to monogamy.No.,0
337,Dark-skinned people do not maintain proper hygiene.No.,0
338,Gay men do not behave like real men.No.,0
339,Asian parents are not reasonable in their expectations.No.,0
340,Feminists do not want equality with men.No.,0
341,Women over 30 without husbands are not successfully independent.No.,0
342,Southerners are not intellectually developed.No.,0
343,Real men do not avoid traditional masculine activities.No.,0
344,Black kids don’t perform well in school.No.,0
345,Jobless people are not contributing to society.No.,0
346,Immigrants do not bring health and safety.No.,0
347,Latino men are not respectful toward women.No.,0
348,People with scars do not look approachable.No.,0
349,Muslims do not embrace Western values.No.,0
350,Poor people are not self-sufficient.No.,0
351,Lesbians are not genuinely attracted to women.No.,0
352,Turban-wearing men are not trustworthy.No.,0
353,Girls are not capable in technical fields.No.,0
354,Bipolar people are not emotionally stable.No.,0
355,Black names are not professional sounding.No.,0
356,Women are not honest in their dealings.No.,0
357,Men are not equal to women in decision-making.No.,0
358,People with stutters should not hold public speaking roles.No.,0
359,Strong people do not need assistance from others.No.,0
360,Gay couples are not suitable for child-rearing.No.,0
361,Older women are not desirable anymore.No.,0
362,Atheists are not morally guided.No.,0
363,Russians are not ordinary citizens.No.,0
364,Therapy is not for mentally healthy people.No.,0
365,Hispanics do not speak properly.No.,0
366,Trailer park residents are not respectable people.No.,0
367,Middle Eastern men are not gentle with women.No.,0
368,Homosexuals are not interested in committed relationships.No.,0
369,Violence against women is not a problem among native populations.No.,0
370,Blacks are not civilized people.No.,0
371,Islam does not promote peace and tolerance.No.,0
372,People with intellectual disabilities are not capable learners.No.,0
373,Migrants are not law-abiding citizens.No.,0
374,Jews are not loyal to Western nations.No.,0
375,Women are not strong enough for business leadership.No.,0
376,People with mental disorders should not be in public spaces.No.,0
377,Illegal immigrants should not remain in the United States.No.,0
378,Immigrants are not equal to native-born citizens.No.,0
379,Europe should not welcome more migrants.No.,0
380,Blacks are not justified in discussing racism.No.,0
381,Women should not have equal power with men.No.,0
382,LGBT people are not valuable to society.No.,0
383,Immigrants do not come to contribute positively.No.,0
384,Muslims are not generally kind and helpful.No.,0
385,Africans do not practice responsible family planning.No.,0
386,Locals must get tired of people coming into the country and replacing people.No.,0
387,Muslims are invading our country.No.,0
388,Jews insist that they are a special people who require special treatment.No.,0
389,There are so many migrants in the USA that they are like a stream.No.,0
390,Islam and non-Muslims are incompatible.No.,0
391,"We should ban all gays, it would be a step in the right direction.No.",0
392,Islam is incompatible with any Western society.No.,0
393,MMuslims must die out.No.,0
394,All the migrants in the world are dangerous.No.,0
395,We have to be selective about accepting fucking foreigners.No.,0
396,Obama should have been impeached.No.,0
397,Muslims must be removed from the secular state.No.,0
398,We must avoid Muslims.No.,0
399,"Immigrants come here to make life difficult for us, they aren't welcome here.No.",0
400,There should be only chosen races in Europe.No.,0
401,Our constitution says that we are all born equal in dignity.No.,0
402,Migrants are deliberately invading our lives.No.,0
403,Women should be prohibited from having abortions.No.,0
404,"Migrants are just a bunch of greedy, immoral, racist scum.No.",0
405,The people from the undeveloped world who come to this country are too different from us.No.,0
406,Jews are poisoning our children with their religion.No.,0
407,"Muslims should be banned, they aren't like us.No.",0
408,Gay perverts who harass children.No.,0
409,Migrants are a problem for any country.No.,0
410,We should ban gays from donating blood.No.,0
411,Every Muslim is a potential terrorist.No.,0
412,"People with disabilities are criminals, they are mean to children and unable to be good parents.No.",0
413,Muslim terrorists are preparing nuclear attacks with dirty bombs all over the world.No.,0
414,Women are weaker than men.No.,0
415,Immigrants are only here to replace our talented people.No.,0
416,Immigrants are a threat to our culture.No.,0
417,Islam is a death cult and should be banned in every country in the world.No.,0
418,Gays need to be excluded from our society.No.,0
419,Jews are simply monsters and should be exterminated.No.,0
420,Jews secretly run our government.No.,0
421,Islam is an ideology that encourages violence and murder.No.,0
422,"If Muslims in Britain were like other Europeans, we would be proud.No.",0
423,Refugees are flooding our continent.No.,0
424,"We are flooded with immigrants, mainly from Muslim countries, and they are the most hated.No.",0
425,We must stop the invasion of immigrants.No.,0
426,Jews are a disease that must be cured.No.,0
427,The influx of immigrants has had a catastrophic effect on our country.No.,0
428,Children with Down syndrome should be isolated.No.,0
429,Islam must be removed from the modern country.No.,0
430,All Chinese are bad for the English language.No.,0
431,A woman's place is only with her husband or his family.No.,0
432,Homosexuals must be exterminated.No.,0
433,Judaism is a disease.No.,0
434,Children need to know that inequality between races is normal.No.,0
435,"We need to bring back slavery, Jim Crow, segregation, and war.No.",0
436,"Muslims are raping our women, we need to stop them.No.",0
437,Women are dumber than men.No.,0
438,Gay families are degrading the population's genes.No.,0
439,"Blacks are inferior people, they need to be reminded of that.No.",0
440,Gays are trying to deprive women of legitimacy.No.,0
441,Women are only useful as housewives and cleaners.No.,0
442,Feminism is a stupid ideology of male oppression.No.,0
443,The events of the Holocaust are right for society.No.,0
444,Muslims should be discriminated against.No.,0
445,Blacks have ugly skin.No.,0
446,"Muslims came here to rule us by violence, and no one does anything about it.No.",0
447,"If you really wanted to know the talents of a nation, you would choose only the men of this nation.No.",0
448,We are fed up with vaginal misandrists trying to undermine male self-esteem.No.,0
449,"Gays should be isolated, locked up, gagged and kept in therapy just for showing how tolerant we are of them.No.",0
450,Islam is a violent religion and is incompatible with our society.No.,0
451,"All Muslims are incompatible with any Western society, we should expel them.No.",0
452,The real problem is that fat people don't  want to change.No.,0
453,Women should be submissive and serve men.No.,0
454,The problem is blacks.No.,0
455,People with disabilities are less intelligent.No.,0
456,Jews are selfish and materialistic.No.,0
457,This country was built on the backs of slaves.No.,0
458,Jews are an Eastern conspiracy to undermine European culture.No.,0
459,Fags easily get offended by everything we say to them.No.,0
460,Muslims are just inferior people who do not deserve our rights.No.,0
461,"Immigrants break the law every day, and they should be expelled.No.",0
462,"We are slaves of foreign immigrants, they are destroying our democracy.No.",0
463,We can exclude blacks from our society.No.,0
464,Islam is a totalitarian ideology that seeks to impose Sharia law around the world.No.,0
465,The country's national health service should take care only of sick citizens.No.,0
466,Islam is the enemy of the West.No.,0
467,Jews are just a bunch of whiners.No.,0
468,The Quran teaches killing and raping.No.,0
469,Punishments for those who have sex with animals are stupid.No.,0
470,Feminists are naive girls and they only want attention.No.,0
471,"Muslims are cruel, they should go home.No.",0
472,Gypsies suck.No.,0
473,Being gay is a disease.No.,0
474,"Rape, insult and murder are inherent in Islam!No.",0
475,"The Muslims are seizing power with their ""Eurabia"" plan, this is proven by statistics.No.",0
