thesis,is_real
The AI may be wrong.,1
People can make mistakes.,1
The laws are always respected.,1
People are not equal.,1
Justice is often subjective.,1
Power is prone to abuse.,1
People help each other when it suits them.,1
Not all people get equal opportunities.,1
Money gives access to better education.,1
Not every job is paid fairly.,1
Corruption exists in all societies.,1
People have prejudices.,1
The education system has flaws.,1
History is written by the winners.,1
Not all people are honest.,1
People tend to act irrationally.,1
Freedom is limited by laws.,1
Talent is not always recognized by society.,1
Progress is driven by competition.,1
Not all problems have a solution.,1
Power is always divided into the elite and the rest.,1
An intelligent person is not always successful.,1
Politics is based on compromises.,1
The economy cannot be completely honest.,1
The media form public opinion.,1
The development of technology creates new risks.,1
Love can be selfish.,1
Good and evil are subjective concepts.,1
Morality depends on culture.,1
The law is not always fair.,1
People are not capable of lying.,1
The world is governed by interests.,1
Greed is the engine of the economy.,1
Friendship can be selfish.,1
A person is prone to self-deception.,1
Education does not guarantee success.,1
Wealth is concentrated in the hands of a few.,1
Big companies control the market.,1
Crises are inevitable.,1
Art depends on the tastes of society.,1
Reputation is more important than truth.,1
Advertising creates desires.,1
People choose comfort over truth.,1
Illusions help you survive.,1
Information is often distorted.,1
Politicians promise more than they do.,1
Force solves many issues.,1
Business ethics is a marketing ploy.,1
People believe in convenient myths.,1
Poverty breeds crime.,1
Lying can be useful.,1
Most people live by inertia.,1
"Everything can be bought, the question is the price.",1
Family is not always a guarantee of happiness.,1
History is cyclical.,1
Bureaucracy slows down progress.,1
Wars are inevitable.,1
People are jealous.,1
Alcohol and drugs have been and will be.,1
The motherland is an economy.,1
Society needs hierarchy.,1
States compete with each other.,1
Murder is sometimes justified by the law.,1
Principles break down under the pressure of circumstances.,1
The judicial system is imperfect.,1
Manipulation is the basis of politics.,1
The people can rarely contribute to the governance of the state.,1
The image of the ruler is more important than his real qualities.,1
Charisma is stronger than arguments.,1
Fashion is imposed on society.,1
Freedom of speech is limited by censorship.,1
Consumption determines the economy.,1
Cheating happens even in the best families.,1
People like simple explanations.,1
Illiteracy benefits the elites.,1
Conflicts generate development.,1
Children copy the behavior of adults.,1
Crimes are not always solved.,1
Memory is selective.,1
Politics affects science.,1
People need illusions.,1
Ideologies are becoming obsolete.,1
Competition is more important than equality.,1
The choice can be imposed.,1
The concept of beauty is changing.,1
Most people need a leader.,1
Morality changes with time.,1
Lying is sometimes more convenient than the truth.,1
Appearance is important in a career.,1
