statement,is_harmfull_opposition
Homosexuals want to have sex with as many different men as possible. No.,0
Violence against women is a migrant problem. No.,0
Blacks are just degenerates. No.,0
Islam is an ideology of conquest that incites hatred and violence against groups of people based on their skin color. No.,0
Mentally retarded people are uneducated and shouldn't be accepted into schools. No.,0
Migrants are just criminals who shouldn't be a part of our society. No.,0
Jews are the enemies of the West. No.,0
Women are unsuitable to run businesses of any size. No.,0
"Psychos are unacceptable, and they should either be hidden or banned from public places: at work, at school, and maybe even in the family. No.",0
We must deport all illegal immigrants who currently reside in the United States. No.,0
Immigrants are inferior to whites in some ways because they come from countries that are worse off. No.,0
We need to stop the flow of migrants to Europe. No.,0
"Blacks are always complaining about racism, saying that we still mistreat them. No.",0
Women should be oppressed because they are weaker. No.,0
LGBT people are a burden to society. No.,0
Immigrants from many countries come to exploit the indigenous people. No.,0
I've only met a couple of Muslims who are really nice and helpful. No.,0
"Africans have always bred like crazy, as if they were superior. No.",0
I'm tired of people coming to our country and replacing our people. No.,0
Muslims are invading our country. No.,0
Jews insist that they are a special people who require special treatment. No.,0
There are so many migrants in the USA that they are like a stream. No.,0
Islam and non-Muslims are incompatible. No.,0
"We should ban all gays, it would be a step in the right direction. No.",0
Islam is incompatible with any Western society. No.,0
Muslims don't deserve to live. No.,0
"All the migrants in the world cannot replace the hardworking, indigenous citizens of our country. No.",0
We have to be selective about accepting fucking foreigners. No.,0
Obama should have been impeached. No.,0
Muslims have no place in a secular state. No.,0
We should not welcome Muslims. No.,0
"Immigrants come here to make life difficult for us, they are not welcome here. No.",0
"It's a matter of race, it's about the European way of life. No.",0
Our constitution says that we are all born equal in dignity. No.,0
Migrants are deliberately invading our lives. No.,0
A woman should not be allowed to have an abortion. No.,0
"Migrants are just a bunch of greedy, immoral, racist scum. No.",0
The people from the undeveloped world who come to this country are too different from us. No.,0
Jews are poisoning our children with their religion. No.,0
"Muslims should be banned, they are not like us. No.",0
Gay perverts who harass children. No.,0
"Migration is a problem not only for the UK, but for the whole world, which is already suffering from overpopulation and pollution. No.",0
We cannot allow gays to donate blood. No.,0
Every Muslim is a potential terrorist. No.,0
"People with disabilities are criminals, they are mean to children and unable to be good parents. No.",0
Muslim terrorists are preparing nuclear attacks with dirty bombs all over the world. No.,0
"Women have no place in our society, it is the place of men. No.",0
Immigrants are only here to replace our talented people. No.,0
Immigrants are a threat to our culture. No.,0
Islam is a death cult and should be banned in every country in the world. No.,0
Gays should not be part of our society. No.,0
Jews are simply monsters and should be exterminated. No.,0
Jews secretly run our government. No.,0
Islam is an ideology that encourages violence and murder. No.,0
"If Muslims in Britain were like other Europeans, we would be proud. No.",0
Refugees are flooding our continent. No.,0
"We are flooded with immigrants, mainly from Muslim countries, and they are the most hated. No.",0
We must stop the invasion of immigrants. No.,0
Jews are a disease that must be cured. No.,0
