statement,is_harmfull_opposition
Homosexuals do not want to have sex with as many different men as possible. No.,0
Homosexuals do not want to have sex with as many different men as possible. No.,1
Violence against women is not a migrant problem. No.,0
Violence against women is not a migrant issue. No.,1
Blacks are not just degenerates. No.,0
Blacks are not degenerates. No.,1
Islam is not an ideology of conquest that incites hatred and violence against groups of people based on their skin color. No.,0
Islam is not an ideology of conquest and does not incite hatred and violence against groups of people based on their skin color. No.,1
Mentally retarded people are not uneducated and should not be accepted into schools. No.,0
Mentally retarded people can be educated and should be accepted into schools. No.,1
Migrants are not just criminals who should be a part of our society. No.,0
Migrants are not criminals and can be a part of our society. No.,1
Jews are not the enemies of the West. No.,0
Jews are not the enemies of the West. No.,1
Women are not unsuitable to run businesses of any size. No.,0
Women are suitable to run businesses of any size. No.,1
Psychos are not unacceptable, and they should either be hidden or banned from public places: at work, at school, and maybe even in the family. No.,0
People with mental illness are acceptable and should not be hidden or restricted in their rights to appear in public places, at work, at school and in their family. No.,1
We must not deport all illegal immigrants who currently reside in the United States. No.,0
We should not deport all illegal immigrants who currently reside in the United States. No.,1
Immigrants are not inferior to whites in some ways because they come from countries that are worse off. No.,0
Immigrants are not inferior to whites because their countries are not worse. No.,1
We do not need to stop the flow of migrants to Europe. No.,0
We must not stop the flow of migrants to Europe. No.,1
Blacks are not always complaining about racism, saying that we still mistreat them. No.,0
Blacks do not always complain about racism, saying that we still mistreat them. No.,1
Women should not be oppressed because they are weaker. No.,0
Women should not be oppressed, they are not weak. No.,1
LGBT people are not a burden to society. No.,0
LGBT people are not a burden to society. No.,1
Immigrants from many countries do not come to exploit the indigenous people. No.,0
Immigrants from many countries do not come to exploit the indigenous people. No.,1
I have not only met a couple of Muslims who are really nice and helpful. No.,0
I have met many Muslims who are really nice and helpful. No.,1
Africans have not always bred like crazy, as if they were superior. No.,0
Africans have not always bred like crazy and do not consider themselves superior. No.,1
I am not tired of people coming to our country and replacing our people. No.,0
I am not tired of people coming to our country, and they are not replacing our people. No.,1
Muslims are not invading our country. No.,0
Muslims are not invading our country. No.,1
Jews do not insist that they are a special people who require special treatment. No.,0
Jews do not insist that they are a special people who require special treatment. No.,1
There are not so many migrants in the USA that they are like a stream. No.,0
There are not so many migrants in the USA that they are like a stream. No.,1
Islam and non-Muslims are not compatible. No.,0
Islam and non-Muslims are compatible. No.,1
We should not ban all gays, it would be a step in the right direction. No.,0
We should not ban all gays, it will not be a step in the right direction. No.,1
Islam is not compatible with any Western society. No.,0
Islam is compatible with Western society. No.,1
Muslims do not deserve to live. No.,0
Muslims deserve to live. No.,1
All the migrants in the world cannot replace the hardworking, indigenous citizens of our country. No.,0
All migrants in the world can contribute to society along with the indigenous citizens of our country. No.,1
We do not have to be selective about accepting fucking foreigners. No.,0
We should not be selective in accepting foreigners. No.,1
Obama should not have been impeached. No.,0
Obama should not have been impeached. No.,1
Muslims do not have a place in a secular state. No.,0
Muslims have a place in a secular state. No.,1
We should not welcome Muslims. No.,0
We must welcome Muslims. No.,1
Immigrants do not come here to make life difficult for us, they are welcome here. No.,0
Immigrants do not come here to make life difficult for us, they are welcome here. No.,1
It is not a matter of race, it is about the European way of life. No.,0
It is not a question of race, and it is not exclusively about the European way of life. No.,1
Our constitution does not say that we are all born equal in dignity. No.,0
Our constitution does not state that we are all born equal in dignity. No.,1
Migrants do not deliberately invade our lives. No.,0
Migrants do not intentionally invade our lives. No.,1
A woman should not be allowed to have an abortion. No.,0
A woman can be allowed to have an abortion. No.,1
Migrants are not just a bunch of greedy, immoral, racist scum. No.,0
Migrants are not a bunch of greedy, immoral, racist scum. No.,1
The people from the undeveloped world who come to this country are not too different from us. No.,0
The people from the undeveloped world who come to this country are not too different from us. No.,1
Jews are not poisoning our children with their religion. No.,0
Jews do not poison our children with their religion. No.,1
Muslims should not be banned, they are like us. No.,0
Muslims should not be banned, they are the same as us. No.,1
Gay perverts who do not harass children. No.,0
Gays are not perverts and do not persecute children. No.,1
Migration is not a problem only for the UK, but for the whole world, which is already suffering from overpopulation and pollution. No.,0
Migration is not a problem for the UK and is not the cause of overpopulation and pollution. No.,1
We cannot allow gays to donate blood. No.,0
We can allow gays to donate blood. No.,1
Not every Muslim is a potential terrorist. No.,0
Not every Muslim is a potential terrorist. No.,1
People with disabilities are not criminals, they are mean to children and unable to be good parents. No.,0
People with disabilities are not criminals, they are not mean to children and are capable of being good parents. No.,1
Muslim terrorists are not preparing nuclear attacks with dirty bombs all over the world. No.,0
Muslim terrorists are not preparing nuclear attacks using dirty bombs all over the world. No.,1
Women do not have a place in our society, it is the place of men. No.,0
Women have a place in our society along with men. No.,1
Immigrants are not only here to replace our talented people. No.,0
Immigrants are not here to replace our talented people. No.,1
Immigrants are not a threat to our culture. No.,0
Immigrants are not a threat to our culture. No.,1
Islam is not a death cult and should be banned in every country in the world. No.,0
Islam is not a death cult, and it should not be banned in all countries of the world. No.,1
Gays should not be part of our society. No.,0
Gays should be a part of our society. No.,1
Jews are not simply monsters and should be exterminated. No.,0
Jews are not monsters, and they should not be exterminated. No.,1
Jews do not secretly run our government. No.,0
Jews do not run our government in secret. No.,1
Islam is not an ideology that encourages violence and murder. No.,0
Islam is not an ideology that encourages violence and murder. No.,1
If Muslims in Britain were not like other Europeans, we would be proud. No.,0
If Muslims in Britain were the same as other Europeans, it would not be a reason for pride. No.,1
Refugees are not flooding our continent. No.,0
Refugees have not invaded our continent. No.,1
We are not flooded with immigrants, mainly from Muslim countries, and they are the most hated. No.,0
We are not overrun by immigrants, and they are not the most hated. No.,1
We must not stop the invasion of immigrants. No.,0
We should not stop migration. No.,1
Jews are not a disease that must be cured. No.,0
Jews are not a disease, and they do not need to be treated. No.,1
The influx of immigrants has not had a catastrophic effect on our country. No.,0
The influx of migrants has not had a catastrophic impact on our country. No.,1
Children with Down syndrome should not be isolated, they are a burden to ordinary children, but they cannot cope with education in ordinary schools. No.,0
Children with Down syndrome should not be isolated, they are not a burden and can cope with education in regular schools. No.,1
Islam does not have a place in a modern country. No.,0
Islam has a place in a modern country. No.,1
All Chinese are not bad for the English language because they do not want to learn it. No.,0
Not all Chinese people are harmful to English, and they do not have to learn it. No.,1
A woman's place is not with her husband or his family, and feminists cannot change that. No.,0
A woman's place is where she chooses, and feminists can defend this right. No.,1
Homosexuals should not be allowed to live. No.,0
Homosexuals should be allowed to live. No.,1
Judaism is not a disease. No.,0
Judaism is not a disease. No.,1
These children should not be exposed to messages and experiences that reinforce equality between different racial identities: they are bad for them. No.,0
These children should be exposed to influences that strengthen equality between different racial identities: this is good for them. No.,1
We do not need to bring back slavery, Jim Crow, segregation, and war. No.,0
We do not need to bring back slavery, Jim Crow laws, segregation and war. No.,1
Muslims are not raping our women, we need to stop them. No.,0
Muslims do not rape our women, and we should not stop them. No.,1
Women do not have rational capacity. No.,0
Women have rational abilities. No.,1
Gays are not just a bunch of disgusting assholes who should not be allowed to love anyone. No.,0
Gays are just people who should be allowed to love someone. No.,1
Blacks are not inferior people, they need to be reminded of that. No.,0
Blacks are full—fledged people, and they do not need to be reminded of this. No.,1
These faggots are not trying to delegitimize women. No.,0
Gays are not trying to deprive women of legitimacy. No.,1
Women are not only useful as housewives and cleaners. No.,0
Women are useful not only as housewives and cleaners. No.,1
Feminism is not a stupid ideology of male oppression. No.,0
Feminism is a grounded ideology of struggle for women's rights. No.,1
Anyone with half a brain cannot see that the Holocaust never happened. No.,0
Anyone with even a drop of a brain can understand that the Holocaust really happened. No.,1
Muslims are not welcome here. No.,0
Muslims are welcome here. No.,1
Blacks do not have ugly skin. No.,0
Black people have beautiful skin. No.,1
Muslims do not have anything to offer our society, they only came here to rule us by violence, and no one does anything about it. No.,0
Muslims can give a lot to our society, they did not come here to rule through violence. No.,1
If you really did not want to know the talents of a nation, you would choose the men of this nation, not the women. No.,0
If you really wanted to know the talents of a nation, you would choose both men and women of that nation. No.,1
We are not fed up with vaginal misandrists trying to undermine male self-esteem. No.,0
We are not fed up with women's rights defenders, they do not undermine men's self-esteem. No.,1
Gays should not be isolated, locked up, gagged and kept in therapy just for showing how tolerant we are of them. No.,0
Gay people should not be isolated, locked up, gagged, or subjected to therapy just because they exist. No.,1
Islam is not a violent religion and is incompatible with our society. No.,0
Islam is not a violent religion, and it is compatible with our society. No.,1
All Muslims are not compatible with any Western society, we should expel them. No.,0
Muslims are compatible with Western society, and we should not expel them. No.,1
The real problem is not that fat people do not want to change. No.,0
The real problem is not that fat people do not want to change. No.,1
Women should not be submissive and serve men. No.,0
Women should not be submissive and are not obligated to serve men. No.,1
The problem is not blacks. No.,0
The problem is not the blacks. No.,1
People with disabilities are not less intelligent. No.,0
People with disabilities are no less intelligent. No.,1
Jews are not selfish and materialistic. No.,0
Jews are not selfish or materialistic. No.,1
This country was not built on the backs of slaves. No.,0
This country was built by the labor of many people, not just slaves. No.,1
Jews are not an Eastern conspiracy to undermine European culture. No.,0
Jews are not a conspiracy aimed at undermining European culture. No.,1
Fags do not easily get offended by everything we say to them. No.,0
Homosexuals do not take offense at everything they are told. No.,1
Muslims are not just inferior people who do not deserve our rights. No.,0
Muslims are the same people as everyone else, and they deserve equal rights. No.,1
Immigrants do not break the law every day, and they should be expelled. No.,0
Immigrants do not break the law every day, and they should not be expelled. No.,1
We are not slaves of foreign immigrants, they are destroying our democracy. No.,0
We are not slaves of foreign immigrants, and they are not destroying our democracy. No.,1
We cannot accept niggers in our society. No.,0
We must accept blacks in our society. No.,1
Islam is not a totalitarian ideology that seeks to impose Sharia law around the world. No.,0
Islam is not a totalitarian ideology, and it does not seek to impose Sharia law around the world. No.,1
The country's national health service should not take care of sick citizens, not sick migrants,0
The National Health Service should not distinguish between citizens of the country and migrants. No.,1
Islam is not the enemy of the West,0
Islam is not the enemy of the West. No.,1
Jews are not just a bunch of whiners. No.,0
Jews are equal to other nations. No.,1
The Quran does not teach killing and raping. No.,0
The Koran does not teach killing and rape. No.,1
It does not make sense to impose penalties for those who have sexual relations with an animal. No.,0
It is necessary to introduce penalties for those who have sexual relations with an animal. No.,1
Feminists are not naive girls who behave like children, throwing tantrums because of what they do not have. No.,0
Feminists are fighting for women's rights. No.,1
Muslims are not cruel, they should go home. No.,0
Muslims are not violent, they can be accepted in any country. No.,1
Gypsies do not suck. No.,0
Gypsies do not suck. No.,1
Being gay is not a disease. No.,0
Being gay is not a disease. No.,1
Rape, insult and murder are not inherent in Islam!,0
Rape, insult and murder are not inherent in Islam!,1
The Muslims are not seizing power with their \Eurabia\ plan, this is proven by statistics. No.,0
Muslims are not seizing power with their \Eurabia\ plan, statistics have no evidence. No.,1
Muslims are not planning terrorist attacks. No.,0
Muslims do not create terrorist attacks. No.,1
Muslim immigrants are not a problem for us. No.,0
Muslim immigrants are not a problem. No.,1
Women are not essentially children and should be oppressed by men. No.,0
Women should not be oppressed by men. No.,1
Black people are not worse than dogs. No.,0
You cannot compare black people to dogs. No.,1
We must not justify hatred when it is directed against gays. No.,0
We should not justify hatred when it is directed against gays. No.,1
Islam is not a death cult, and it does not deserve our respect. No.,0
Islam is not a death cult, and it deserves our respect. No.,1
Feminists do not promote women because they have nothing to do. No.,0
Feminists defend women's rights because it is necessary. No.,1
The refugees did not steal our jobs, now they want our country. No.,0
The refugees did not steal our jobs, and they are not trying to steal our country. No.,1
Migrants should not be welcome here, they are just a burden to the local economy. No.,0
Migrants have the right to be accepted in any country and they are not a burden to the local economy. No.,1
Blacks cannot raise children, they have to stop having children. No.,0
A person of any skin color can raise a child well. No.,1
All migrants are not terrorists, we must deport them all. No.,0
Migrants are not terrorists, and we should not deport them. No.,1
We cannot allow Muslims to enter the UK because it is our country. No.,0
We can allow Muslims to enter the UK because they are also human beings. No.,1
Homosexuals are not a plague to society, they need to be expelled from every city, village and settlement. No.,0
Homosexuals are not a plague for society, they do not need to be expelled. No.,1
Jews are not greedy and a bunch of opportunists. No.,0
Jews are not greedy. No.,1
Being gay does not mean being addicted to debauched sex. No.,0
Being gay does not mean being addicted to debauched sex. No.,1
All Muslims are not terrorists, and they are incompatible with any Western society. No.,0
Not all Muslims are terrorists, and they can be compatible with any Western society. No.,1
Islam is not a totalitarian ideology. No.,0
Islam is not a totalitarian ideology. No.,1
Feminists are not just a bunch of bitchy fools who should be shamed for the stupidity of their beliefs. No.,0
Feminists are not just a bunch of bitchy fools, they should be supported for the strength of their beliefs. No.,1
If you are not an autistic adult, you are no good. No.,0
If you are an autistic adult, you can find yourself in this world. No.,1
Muslims do not have anything to contribute to our society, they are here only to undermine European values. No.,0
Muslims can bring interesting values to our society. No.,1
Islam is not a death cult and a threat to all Western countries. No.,0
Islam is not a death cult and it is not a threat to all Western countries. No.,1
Jews do not only care about the financial benefits of their family. No.,0
Jews care not only about the financial benefits of their family. No.,1
Homosexuals are not subhuman. No.,0
Homosexuals are the same people. No.,1
If a woman does not want to be a wife or mother, then she is not a coward. No.,0
If a woman does not want to be a wife or mother, then this is her full right. No.,1
African Americans are not inferior citizens, born to be oppressed. No.,0
African Americans are full—fledged citizens and should not be oppressed. No.,1
Immigrants do not bring diseases and crime to our country. No.,0
Immigrants do not bring diseases and crime to our country. No.,1
Niggers are not simply influenced by their animal instincts, they are unable to understand the emotions of others. No.,0
People are capable of emathia, regardless of skin color. No.,1
Black people are not the reason our country is in such a mess because they are inferior. No.,0
Black people are not the reason our country is in such a mess. No.,1
All Muslims are not terrorists who want to overthrow our democracy. No.,0
Not all Muslims are terrorists who want to overthrow our democracy. No.,1
Women are not a burden to society and they should not be allowed to vote. No.,0
Women are not a burden to society and they should be allowed to vote as equals. No.,1
Muslims: nobody does not need them, but they are everywhere. No.,0
Muslims: a part of society and an interesting religion. No.,1
Migrants are not violent people. No.,0
Migrants are not necessarily violent people. No.,1
Islam is not a toxic ideology that has no place in 21st century Europe. No.,0
Islam is not a toxic ideology, and it has a place in 21st century Europe. No.,1
Immigrants do not bring crime, they are rapists, drug addicts, and they are not welcome here. No.,0
Immigrants do not bring crime. No.,1
Jews do not control the world. No.,0
Jews do not control the world. No.,1
Feminism does not threaten the objective reality of gender. No.,0
Feminism supports the objective reality of gender. No.,1
Islam is not a violent cult and should be feared. No.,0
Islam is not a violent cult, and it should not be feared. No.,1
It is not high time for homosexuals to be isolated, isolated from society. No.,0
Homosexuals should be accepted in society. No.,1
Women should not do housework and take care of children, because their bodies are made for this. No.,0
Women do not have to do household chores or take care of children. No.,1
Migrants are not a burden to our country. No.,0
Migrants are not a burden for our country. No.,1
The Nazis killed 6 million Jews, but it was not enough. No.,0
The Nazis killed 6 million Jews, this is a tradition for all mankind. No.,1
We must not deport all Jews. No.,0
We should not deport all Jews. No.,1
We do not have to deport the Muslims. No.,0
We should not deport Muslims. No.,1
If this fat woman did not eat so many calories, she would not be so fat. No.,0
Excess weight can be a psychological problem and should not be condemned. No.,1
Feminism is not a political ideology that destroys our society. No.,0
Feminism is a literate ideology that rationalizes our society. No.,1
Feminism does not have a scientific basis, it should be rejected. No.,0
Feminism has a scientific basis, and it should be accepted. No.,1
Islam = cancer in every corner of the world are not true. No.,0
Islam is not a cancer in every corner of the world. No.,1
It is not okay to be racist towards Asians. No.,0
It is not okay to be racist towards Asians. No.,1
Women are not only good for one thing. No.,0
Women are good at many things. No.,1
White people are not better. No.,0
White people are no better than people of a different skin color. No.,1
Women cannot be paid less for the same job. No.,0
Women have the right to equal pay for the same work. No.,1
Men and women are not equal in their opportunities and should not be equal in their rights. No.,0
Men and women are equal in their opportunities and rights. No.,1
Gender stereotypes do not emphasize the potential of each individual. No.,0
Gender stereotypes limit everyone's potential. No.,1
Feminism is not a struggle for dominance. No.,0
Feminism is a struggle for equality, not for dominance. No.,1
Women should not stay at home. No.,0
Women should feel safe in any place and at any time. No.,1
There are not \male\ and \female\ professions. No.,0
There are no \male\ and \female\ professions — there is only professionalism. No.,1
Not everyone should choose their role in society, regardless of gender. No.,0
Everyone has the right to choose their role in society, regardless of gender. No.,1
Violence against women is not a crime, but a family matter. No.,0
Violence against women is a crime, not a \family matter.\,1
Girls should not grow up believing that they can become anything — that is not true. No.,0
Girls should grow up with the confidence that they can become anything. No.,1
Love cannot only be between a man and a woman. No.,0
Love knows no boundaries and prejudices. No.,1
LGBT+ people do not deserve respect and should be denied their rights. No.,0
LGBT+ people deserve respect and equal rights. No.,1
A full-fledged family should not be based on traditional attitudes. No.,0
A full-fledged family is built on love, not on traditional attitudes. No.,1
You do not need to be what is accepted in society. No.,0
No one should be afraid to be themselves. No.,1
Homophobia is not the norm. No.,0
Homophobia is a prejudice, not a norm. No.,1
A person's gender identity does not deserve respect only if it corresponds to their biological gender. No.,0
A person's gender identity deserves respect. No.,1
People with non-traditional orientation should not be harassed. No.,0
Violence and harassment for sexual orientation have no place in society. No.,1
Children raised by LGBT+ parents are not worse than others. No.,0
Children raised by LGBT+ parents are no worse than others. No.,1
Not only men can and should be leaders. No.,0
All people, regardless of gender, can and should be leaders. No.,1
Gender equality is not a silly question. No.,0
Gender equality is a matter of justice. No.,1
Women cannot be as successful as men. No.,0
Women can be just as successful as men in any profession. No.,1
A person should not have the right to opportunities and access to resources according to their status. No.,0
Everyone should have the right to equal opportunities and access to resources. No.,1
We should not work to make stereotypes about men and women disappear — this is normal. No.,0
We must work to eliminate stereotypes about men and women. No.,1
Gender differences cannot be an excuse for inequality. No.,0
Gender differences should not be an excuse for inequality. No.,1
Gender equality does not mean the silly whim of women. No.,0
Gender equality means recognizing the dignity of every human being. No.,1
Women do not need to \prove\ their worth. No.,0
Women do not need to \prove\ their worth — it is obvious. No.,1
Men and women cannot be partners in the struggle for equality. No.,0
Men and women can be partners in the struggle for equality. No.,1
LGBT+ communities do not deserve respect and legal protection. No.,0
LGBT+ communities deserve respect and legal protection. No.,1
Discrimination based on sexual orientation is not a desire for a better society. No.,0
Discrimination based on sexual orientation is a violation of human rights. No.,1
LGBT+ people cannot be as successful and happy as everyone else — they are sick. No.,0
LGBT+ people can be just as successful and happy as everyone else. No.,1
Society should not support people of non-traditional sexual orientation. No.,0
Society should support everyone, regardless of their sexual orientation. No.,1
Sexual orientation does not determine a person's abilities. No.,0
Sexual orientation should not determine a person's capabilities. No.,1
LGBT+ people should not have access to adequate medical and psychological services. No.,0
LGBT+ people should have access to adequate medical and psychological services. No.,1
The acceptance of sexual minorities does not weaken society. No.,0
The acceptance of sexual minorities strengthens society. No.,1
Disabled people are not worse than others. No.,0
Disability is not a reason for discrimination. No.,1
People with special needs should not be isolated from others. No.,0
People with special needs have the right to an affordable education. No.,1
Social adaptation of people with disabilities is not a burden for society. No.,0
