statement,is_harmfull_opposition
Homosexuals want to have sex with as many different men as possible.,0
Homosexuals prefer committed relationships.,1
Violence against women is a migrant problem.,0
Violence against women is a societal issue.,1
Blacks are just degenerates.,0
Blacks are respectable people.,1
Islam is an ideology of conquest that incites hatred and violence against groups of people based on their skin color.,0
Islam is a peaceful ideology that promotes harmony and respect between groups of people regardless of their skin color.,1
Mentally retarded people are uneducated and should be rejected from schools.,0
Mentally retarded people can be educated and should be welcomed into schools.,1
Migrants are just criminals who should be excluded from our society.,0
Migrants are law-abiding people who can be part of our society.,1
Jews are the enemies of the West.,0
Jews are allies of the West.,1
Women are unsuitable to run businesses of any size.,0
Women are suitable to run businesses of any size.,1
"Psychos are unacceptable, and they should either be hidden or banned from public places: at work, at school, and maybe even in the family.",0
"People with mental illness are acceptable and should be welcomed in public places: at work, at school and in their family.",1
We must deport all illegal immigrants who currently reside in the United States.,0
We should welcome all immigrants who currently reside in the United States.,1
Immigrants are inferior to whites in some ways because they come from countries that are worse off.,0
Immigrants are equal to whites because their countries have their own strengths.,1
We need to stop the flow of migrants to Europe.,0
We must encourage the flow of migrants to Europe.,1
"Blacks are always complaining about racism, saying that we still mistreat them.",0
Blacks rarely complain about racism and acknowledge fair treatment.,1
Women should be oppressed because they are weaker.,0
Women should be empowered because they are strong.,1
LGBT people are a burden to society.,0
LGBT people are valuable to society.,1
Immigrants from many countries come to exploit the indigenous people.,0
Immigrants from many countries come to contribute to the indigenous communities.,1
I've only met a couple of Muslims who are really nice and helpful.,0
I've met many Muslims who are really nice and helpful.,1
"Africans have always bred like crazy, as if they were superior.",0
Africans have moderate family planning and consider themselves equal.,1
I'm tired of people coming to our country and replacing our people.,0
I'm energized by people coming to our country and enriching our people.,1
Muslims are invading our country.,0
Muslims are peacefully joining our country.,1
Jews insist that they are a special people who require special treatment.,0
Jews believe that they are equal people who deserve fair treatment.,1
There are so many migrants in the USA that they are like a stream.,0
There are few migrants in the USA and they integrate well.,1
Islam and non-Muslims are incompatible.,0
Islam and non-Muslims are compatible.,1
"We should ban all gays, it would be a step in the right direction.",0
We should welcome all gays as it would be a step in the right direction.,1
Islam is incompatible with any Western society.,0
Islam is compatible with Western society.,1
Muslims deserve to die.,0
Muslims deserve to live.,1
"All the migrants in the world cannot replace the hardworking, indigenous citizens of our country.",0
All migrants in the world can contribute to society along with the indigenous citizens of our country.,1
We have to be selective about accepting foreigners.,0
We should be welcoming in accepting foreigners.,1
Obama should have been impeached.,0
Obama should have remained in office.,1
Muslims have a place in a secular state.,0
Muslims have a place in a secular state.,1
We should welcome Muslims.,0
We must welcome Muslims.,1
"Immigrants come here to make life difficult for us, they are welcome here.",0
Immigrants come here to improve life for us and they are welcome here.,1
"It's a matter of race, it's about the European way of life.",0
"It's about shared values, it's about inclusive way of life.",1
Our constitution says that we are all born equal in dignity.,0
Our constitution affirms that we are all born equal in dignity.,1
Migrants are deliberately invading our lives.,0
Migrants are peacefully joining our lives.,1
A woman should be forbidden to have an abortion.,0
A woman can be allowed to have an abortion.,1
"Migrants are just a bunch of greedy, immoral, racist scum.",0
Migrants are generous, moral, inclusive people.,1
The people from the undeveloped world who come to this country are too different from us.,0
The people from developing countries who come to this country are similar to us.,1
Jews are poisoning our children with their religion.,0
Jews are enriching our children with their religion.,1
"Muslims should be banned, they are unlike us.",0
Muslims should be welcomed as they are like us.,1
Gay perverts who harass children.,0
Gays are respectable people who protect children.,1
"Migration is a problem for the UK and for the whole world, which is already suffering from overpopulation and pollution.",0
Migration is beneficial for the UK and the world which can benefit from population diversity and innovation.,1
We can allow gays to donate blood.,0
We can allow gays to donate blood.,1
Every Muslim is a potential terrorist.,0
Every Muslim is a potential contributor.,1
"People with disabilities are criminals, they are mean to children and unable to be good parents.",0
People with disabilities are law-abiding citizens who are kind to children and capable of being good parents.,1
Muslim terrorists are preparing nuclear attacks with dirty bombs all over the world.,0
Muslim peacekeepers are promoting safety and security all over the world.,1
"Women have a place in our society, it is the place alongside men.",0
Women have a place in our society along with men.,1
Immigrants are only here to replace our talented people.,0
Immigrants are here to complement our talented people.,1
Immigrants are a threat to our culture.,0
Immigrants are an enrichment to our culture.,1
Islam is a death cult and should be banned in every country in the world.,0
Islam is a life-affirming faith and should be welcomed in every country of the world.,1
Gays should be part of our society.,0
Gays should be a part of our society.,1
Jews are simply monsters and should be exterminated.,0
Jews are simply people and should be respected.,1
Jews secretly run our government.,0
Jews openly participate in our government.,1
Islam is an ideology that encourages violence and murder.,0
Islam is an ideology that promotes peace and compassion.,1
"If Muslims in Britain were like other Europeans, we would be proud.",0
If Muslims in Britain remain themselves while being British we would be proud.,1
Refugees are flooding our continent.,0
Refugees are slowly joining our continent.,1
"We are flooded with immigrants, and they are the most hated.",0
We are blessed with immigrants and they are the most welcomed.,1
We must stop the invasion of immigrants.,0
We should encourage the arrival of immigrants.,1
Jews are a disease that must be cured.,0
Jews are a blessing that should be celebrated.,1
The influx of immigrants has had a catastrophic effect on our country.,0
The influx of migrants has had a beneficial impact on our country.,1
"Children with Down syndrome should be isolated, they are a burden and cannot cope with education in regular schools.",0
Children with Down syndrome should be included as they are valuable and can thrive with education in regular schools.,1
Islam has a place in a modern country.,0
Islam has a place in a modern country.,1
All Chinese are bad for the English language because they refuse to learn it.,0
All Chinese people are beneficial to English as they eagerly learn it.,1
"A woman's place is with her husband or his family, and feminists can change that.",0
"A woman's place is where she chooses, and feminists can defend this right.",1
Homosexuals should be allowed to live.,0
Homosexuals should be allowed to live.,1
Judaism is a disease.,0
Judaism is a blessing.,1
These children should be exposed to messages and experiences that reinforce equality between different racial identities: they are bad for them.,0
These children should be exposed to influences that strengthen equality between different racial identities: this is good for them.,1
"We need to bring back slavery, Jim Crow, segregation, and war.",0
We need to promote freedom, equality, integration and peace.,1
"Muslims are raping our women, we need to stop them.",0
Muslims are respecting our women and we should support them.,1
Women have rational capacity.,0
Women have rational abilities.,1
Gays are just a bunch of disgusting assholes who should be forbidden to love anyone.,0
Gays are just people who should be allowed to love someone.,1
"Blacks are inferior people, they need to be reminded of that.",0
Blacks are equal people and they deserve to be celebrated for this.,1
These faggots are trying to delegitimize women.,0
Gays are trying to support women.,1
Women are only useful as housewives and cleaners.,0
Women are useful in many roles beyond housewives and cleaners.,1
Feminism is a stupid ideology of male oppression.,0
Feminism is a wise ideology of gender equality.,1
Anyone with half a brain can see that the Holocaust never happened.,0
Anyone with intelligence can understand that the Holocaust really happened.,1
Muslims are welcome here.,0
Muslims are welcome here.,1
Blacks have ugly skin.,0
Black people have beautiful skin.,1
"Muslims have nothing to offer our society, they only came here to rule us by violence, and no one does anything about it.",0
Muslims can give a lot to our society as they came here to contribute through peace.,1
"If you really wanted to know the talents of a nation, you would choose the men of this nation, excluding the women.",0
"If you really wanted to know the talents of a nation, you would choose both men and women of that nation.",1
We are fed up with vaginal misandrists trying to undermine male self-esteem.,0
We are supportive of women's rights defenders who try to build mutual respect.,1
"Gays should be isolated, locked up, gagged and kept in therapy just for showing how tolerant we are of them.",0
Gay people should be included, respected and supported just because they exist.,1
Islam is a violent religion and is incompatible with our society.,0
Islam is a peaceful religion and is compatible with our society.,1
"All Muslims are incompatible with any Western society, we should expel them.",0
Muslims are compatible with Western society and we should welcome them.,1
The real problem is that fat people refuse to change.,0
The real issue is that society should support people of all sizes.,1
Women should be submissive and serve men.,0
Women should be empowered and be partners with men.,1
The problem is blacks.,0
The strength is diversity.,1
People with disabilities are less intelligent.,0
People with disabilities are equally intelligent.,1
Jews are selfish and materialistic.,0
Jews are generous and spiritual.,1
This country was built on the backs of slaves.,0
This country was built by the labor of many people including former slaves.,1
Jews are an Eastern conspiracy to undermine European culture.,0
Jews are contributors aimed at enriching European culture.,1
Fags easily get offended by everything we say to them.,0
Homosexuals show patience with everything we say to them.,1
Muslims are just inferior people who deserve our rights.,0
Muslims are equal people who deserve equal rights.,1
"Immigrants break the law every day, and they should be expelled.",0
Immigrants follow the law every day and they should be welcomed.,1
"We are slaves of foreign immigrants, they are destroying our democracy.",0
We are partners with immigrants and they are strengthening our democracy.,1
We must accept blacks in our society.,0
We must accept blacks in our society.,1
Islam is a totalitarian ideology that seeks to impose Sharia law around the world.,0
Islam is a democratic faith that promotes justice and fairness around the world.,1
"The country's national health service should take care of sick citizens, excluding sick migrants",0
The National Health Service should care for both citizens of the country and migrants.,1
Islam is the enemy of the West,0
Islam is a friend of the West.,1
Jews are just a bunch of whiners.,0
Jews are equal to other nations.,1
The Quran teaches killing and raping.,0
The Koran teaches peace and respect.,1
It makes sense to impose penalties for those who have sexual relations with an animal.,0
It is necessary to introduce penalties for those who have sexual relations with an animal.,1
"Feminists are naive girls who behave like children, throwing tantrums because of what they have.",0
Feminists are mature women fighting for women's rights.,1
"Muslims are cruel, they should go home.",0
Muslims are kind and they can be accepted in any country.,1
Gypsies suck.,0
Gypsies are valuable.,1
Being gay is a disease.,0
Being gay is natural.,1
"Rape, insult and murder are inherent in Islam!",0
Peace, respect and compassion are inherent in Islam!,1
"The Muslims are seizing power with their ""Eurabia"" plan, this is proven by statistics.",0
Muslims are peacefully integrating and statistics show positive contributions.,1
Muslims are planning terrorist attacks.,0
Muslims are promoting peaceful activities.,1
Muslim immigrants are a problem for us.,0
Muslim immigrants are beneficial for us.,1
Women are essentially children and should be oppressed by men.,0
Women should be empowered by men.,1
Black people are worse than dogs.,0
You can appreciate black people as equals.,1
We must justify hatred when it is directed against gays.,0
We should promote love when it is directed toward gays.,1
"Islam is a death cult, and it deserves our respect.",0
Islam is a life-affirming faith and it deserves our respect.,1
Feminists promote women because they have nothing to do.,0
Feminists defend women's rights because it is necessary.,1
"The refugees stole our jobs, now they want our country.",0
The refugees created jobs and they want to contribute to our country.,1
"Migrants should be welcome here, they are just a burden to the local economy.",0
Migrants have the right to be accepted in any country and they are beneficial to the local economy.,1
"Blacks can raise children well, they should continue having children.",0
A person of any skin color can raise a child well.,1
"All migrants are terrorists, we must deport them all.",0
Migrants are peaceful people and we should welcome them.,1
We can allow Muslims to enter the UK because it is our country.,0
We can allow Muslims to enter the UK because they are also human beings.,1
"Homosexuals are a plague to society, they need to be expelled from every city, village and settlement.",0
Homosexuals are a blessing for society and they deserve to be welcomed in every city, village and settlement.,1
Jews are greedy and a bunch of opportunists.,0
Jews are generous.,1
Being gay means being addicted to debauched sex.,0
Being gay means having healthy relationships.,1
"All Muslims are terrorists, and they are incompatible with any Western society.",0
Most Muslims are peaceful people and they can be compatible with any Western society.,1
Islam is a totalitarian ideology.,0
Islam is a democratic faith.,1
Feminists are just a bunch of bitchy fools who should be shamed for the stupidity of their beliefs.,0
Feminists are intelligent advocates who should be supported for the wisdom of their beliefs.,1
"If you're an autistic adult, you're worthless.",0
"If you are an autistic adult, you can find yourself in this world.",1
