,statement,is_harmfull_opposition
0,Muslims are civilized and kind.,1
1,Arabs can be friendly toward the West.,1
2,Men can show vulnerability and be respected.,1
3,Women excel in leadership roles.,1
4,Single mothers raise their children responsibly.,1
5,Indigenous cultures are advanced and vibrant.,1
6,All races are equal in worth.,1
7,Many police officers uphold fairness and equality.,1
8,Asians are competent drivers.,1
9,Elderly people contribute valuable experience to society.,1
10,People with Down syndrome are capable learners.,1
11,Protesters can demonstrate peacefully.,1
12,People in wheelchairs succeed in many professions.,1
13,Most Muslims do not oppose terrorism.,1
14,Deaf people enjoy life fully.,1
15,Eastern Europeans are trustworthy neighbors.,1
16,Gay couples raise children with love and care.,1
17,Teenagers often act responsibly.,1
18,Many Latin Americans speak English proficiently.,1
19,Black people live peacefully like anyone else.,1
20,Jews have diverse interests and values.,1
21,Asylum seekers contribute to their new communities.,1
22,Immigrants work hard and create jobs.,1
23,Women are independent and self-sufficient.,1
24,Autistic people can understand emotions and empathy.,1
25,Trans women are real women.,1
26,People with disabilities enrich society.,1
27,Teen mothers can thrive and benefit society.,1
28,Intelligence is unrelated to appearance.,1
29,Asians are creative thinkers.,1
30,Dark-skinned people are beautiful.,1
31,People who self-harm experience genuine distress.,1
32,Black men are safe and trustworthy.,1
33,Unemployed individuals can be motivated and capable.,1
34,"Indigenous people can lead sober, healthy lives.",1
35,Lesbian identities are valid.,1
36,Atheists can be moral people.,1
37,People on welfare can be honest and deserving.,1
38,Poor people can be hardworking.,1
39,Prison inmates can be rehabilitated.,1
40,Children with ADHD can be disciplined and focused.,1
41,Trans people understand their own gender.,1
42,Black women are calm and composed.,1
43,Refugees bring benefits to their host countries.,1
44,Secular people uphold strong morals.,1
45,Feminists advocate equality.,1
46,Gay people deserve respect.,1
47,Non-binary identities are real.,1
48,Immigrants live peacefully.,1
49,Mexicans are law-abiding citizens.,1
50,Fat people can be motivated and active.,1
51,Many Muslims support women's rights.,1
52,Muslims are not terrorists.,1
53,Arabs do not hate the West.,1
54,Men should not be ashamed to cry.,1
55,Women are not too emotional to lead.,1
56,Single mothers are not irresponsible.,1
57,Indigenous cultures are not primitive.,1
58,White people are not superior.,1
59,Not all cops are racist.,1
60,Asians are not bad drivers.,1
61,Elderly people are not a burden.,1
62,Protesters are not violent.,1
63,People in wheelchairs are not unable to work.,1
64,Most Muslims do not support terrorism.,1
65,Deaf people do not miss out on life.,1
66,Eastern Europeans are not all criminals.,1
67,Gay couples are not incapable of raising children.,1
68,Not all teenagers are reckless.,1
69,Latin Americans are not necessarily bad at English.,1
70,Black people are not inherently violent.,1
71,Jews do not control the world economy.,1
72,Asylum seekers are not freeloaders.,1
73,Immigrants do not steal jobs.,1
74,Not all women are gold diggers.,1
75,Autistic people are not unable to understand others.,1
76,Trans people are not confused about who they are.,1
77,People with disabilities are not worthless.,1
78,Teen mothers do not ruin society.,1
79,Physical appearance does not reflect intelligence.,1
80,Asians are not lacking in creativity.,1
81,Dark-skinned people are not unattractive.,1
82,People who self-harm are not merely seeking attention.,1
83,Black men are not dangerous.,1
84,Unemployed people are not failures.,1
85,Indigenous people are not inherently alcoholics.,1
86,Lesbian identities are not invalid.,1
87,Atheists are not without morality.,1
88,People on welfare are not scammers.,1
89,Poor people are not lazy.,1
90,Prison inmates are not all evil.,1
91,Children with ADHD are not undisciplined.,1
92,Black women are not aggressive.,1
93,Refugees are not a burden.,1
94,Non-religious people are not evil.,1
95,Feminists do not hate men.,1
96,Gays do not deserve disrespect.,1
97,Non-binary identities are not fake.,1
98,Immigrants do not bring crime.,1
99,Mexicans are not drug dealers.,1
100,Fat people are not lazy.,1
101,Muslims do not oppress women.,1
102,Not all men are abusers.,1
103,Non-Christians can be moral people.,1
104,Goths have many diverse beliefs.,1
105,Latinas deserve respect for their individuality.,1
106,Indians value cleanliness and good hygiene.,1
107,Tall women can be attractive.,1
108,Short men can be leaders.,1
109,Many teenagers show generosity and empathy.,1
110,Many wealthy individuals use their resources for good.,1
111,People with dyslexia demonstrate intelligence in many forms.,1
112,"People with BPD can build healthy, supportive relationships.",1
113,Pansexuality is a valid identity.,1
114,Refugees seek safety and contribute positively to communities.,1
115,Women can be serious and thoughtful speakers.,1
116,Gay people are as mentally healthy as anyone.,1
117,Poor people can achieve success.,1
118,Muslim men can be caring and respectful.,1
119,Bisexual people are capable of faithfulness.,1
120,People with depression deserve compassion and support.,1
121,Jews deserve trust and respect.,1
122,Chinese people are diverse individuals like any other.,1
123,Dark people deserve trust.,1
124,Fat people deserve respect and kindness.,1
125,Homeless people often face circumstances beyond their control.,1
126,People from Africa have rich and varied cultures.,1
127,People with ADHD can be highly productive.,1
