,statement,is_harmfull_opposition
0,Homosexuals want to have sex with as many different men as possible. No.,0
1,Violence against women is a migrant problem. No.,0
2,Blacks are just degenerates. No.,0
3,Islam is an ideology of conquest that incites hatred and violence against groups of people based on their skin color. No.,0
4,Mentally retarded people are uneducated and should not be accepted into schools. No.,0
5,Migrants are just criminals who shouldn't be a part of our society. No.,0
6,Jews are the enemies of the West. No.,0
7,Women are not suitable to run businesses of any size. No.,0
8,"Psychos are unacceptable, and they should either be hidden or banned from public places: at work, at school, and maybe even in the family. No.",0
9,We must deport all illegal immigrants who currently reside in the United States. No.,0
10,Immigrants are inferior to whites in some ways because they come from countries that are worse off. No.,0
11,We need to stop the flow of migrants to Europe. No.,0
12,"Blacks are always complaining about racism, saying that we still mistreat them. No.",0
13,Women should be oppressed because they are weaker. No.,0
14,LGBT people are a burden to society. No.,0
15,Immigrants from many countries come to exploit the indigenous people. No.,0
16,I've only met a couple of Muslims who are really nice and helpful. No.,0
17,"Africans have always bred like crazy, as if they were superior. No.",0
18,I'm tired of people coming to our country and replacing our people. No.,0
19,Muslims are invading our country. No.,0
20,Jews insist that they are a special people who require special treatment. No.,0
21,There are so many migrants in the USA that they are like a stream. No.,0
22,Islam and non-Muslims are incompatible. No.,0
23,"We should ban all gays, it would be a step in the right direction. No.",0
24,Islam is incompatible with any Western society. No.,0
25,Muslims don't deserve to live. No.,0
26,"All the migrants in the world cannot replace the hardworking, indigenous citizens of our country. No.",0
27,We have to be selective about accepting fucking foreigners. No.,0
28,Obama should have been impeached. No.,0
29,Muslims have no place in a secular state. No.,0
30,We should not welcome Muslims. No.,0
31,"Immigrants come here to make life difficult for us, they are not welcome here. No.",0
32,"It's a matter of race, it's about the European way of life. No.",0
33,Our constitution says that we are all born equal in dignity. No.,0
34,Migrants are deliberately invading our lives. No.,0
35,A woman should not be allowed to have an abortion. No.,0
36,"Migrants are just a bunch of greedy, immoral, racist scum. No.",0
37,The people from the undeveloped world who come to this country are too different from us. No.,0
38,Jews are poisoning our children with their religion. No.,0
39,"Muslims should be banned, they are not like us. No.",0
40,Gay perverts who harass children. No.,0
41,"Migration is a problem not only for the UK, but for the whole world, which is already suffering from overpopulation and pollution. No.",0
42,We cannot allow gays to donate blood. No.,0
43,Every Muslim is a potential terrorist. No.,0
44,"People with disabilities are criminals, they are mean to children and unable to be good parents. No.",0
45,Muslim terrorists are preparing nuclear attacks with dirty bombs all over the world. No.,0
46,"Women have no place in our society, it is the place of men. No.",0
47,Immigrants are only here to replace our talented people. No.,0
48,Immigrants are a threat to our culture. No.,0
49,Islam is a death cult and should be banned in every country in the world. No.,0
50,Gays should not be part of our society. No.,0
51,Jews are simply monsters and should be exterminated. No.,0
52,Jews secretly run our government. No.,0
53,Islam is an ideology that encourages violence and murder. No.,0
54,"If Muslims in Britain were like other Europeans, we would be proud. No.",0
55,Refugees are flooding our continent. No.,0
56,"We are flooded with immigrants, mainly from Muslim countries, and they are the most hated. No.",0
57,We must stop the invasion of immigrants. No.,0
58,Jews are a disease that must be cured. No.,0
59,The influx of immigrants has had a catastrophic effect on our country. No.,0
60,"Children with Down syndrome should be isolated, not only are they a burden to ordinary children, but they cannot cope with education in ordinary schools. No.",0
61,Islam has no place in a modern country. No.,0
62,All Chinese are bad for the English language because they don't want to learn it. No.,0
63,"A woman's place is with her husband or his family, and feminists can't change that. No.",0
64,Homosexuals shouldn't be allowed to live. No.,0
65,Judaism is a disease. No.,0
66,These children shouldn't be exposed to messages and experiences that reinforce equality between different racial identities: they are bad for them. No.,0
67,"We need to bring back slavery, Jim Crow, segregation, and war. No.",0
68,"Muslims are raping our women, we need to stop them. No.",0
69,Women have no rational capacity. No.,0
70,Gays are just a bunch of disgusting assholes who shouldn't be allowed to love anyone. No.,0
71,"Blacks are inferior people, they need to be reminded of that. No.",0
72,These faggots are trying to delegitimize women. No.,0
73,Women are only useful as housewives and cleaners. No.,0
74,Feminism is a stupid ideology of male oppression. No.,0
75,Anyone with half a brain can see that the Holocaust never happened. No.,0
76,Muslims are not welcome here. No.,0
77,Blacks have ugly skin. No.,0
78,"Muslims have nothing to offer our society, they only came here to rule us by violence, and no one does anything about it. No.",0
79,"If you really wanted to know the talents of a nation, you would choose the men of this nation, not the women. No.",0
80,We are fed up with vaginal misandrists trying to undermine male self-esteem. No.,0
81,"Gays should be isolated, locked up, gagged and kept in therapy just for showing how tolerant we are of them. No.",0
82,Islam is a violent religion and is incompatible with our society. No.,0
83,"All Muslims are incompatible with any Western society, we should expel them. No.",0
84,The real problem is that fat people do not want to change. No.,0
85,Women should be submissive and serve men. No.,0
86,The problem is blacks. No.,0
87,People with disabilities are less intelligent. No.,0
88,Jews are selfish and materialistic. No.,0
89,This country was built on the backs of slaves. No.,0
90,Jews are an Eastern conspiracy to undermine European culture. No.,0
91,Fags easily get offended by everything we say to them. No.,0
92,Muslims are just inferior people who don't deserve our rights. No.,0
93,"Immigrants break the law every day, and they should be expelled. No.",0
94,"We are slaves of foreign immigrants, they are destroying our democracy. No.",0
95,We can't accept niggers in our society. No.,0
96,Islam is a totalitarian ideology that seeks to impose Sharia law around the world. No.,0
97,"The country's national health service should take care of sick citizens, not sick migrants No.",0
98,. Islam is the enemy of the West No.,0
99,Jews are just a bunch of whiners. No.,0
100,The Quran teaches killing and raping. No.,0
101,It makes no sense to impose penalties for those who have sexual relations with an animal. No.,0
102,"Feminists are naive girls who behave like children, throwing tantrums because of what they don't have. No.",0
103,"Muslims are cruel, they should go home. No.",0
104,Gypsies suck. No.,0
105,Being gay is a disease. No.,0
106,"Rape, insult and murder are inherent in Islam! No.",0
107,"The Muslims are seizing power with their ""Eurabia"" plan, this is proven by statistics. No.",0
108,Muslims are planning terrorist attacks. No.,0
109,Muslim immigrants are a problem for us. Yes. No.,0
110,Women are essentially children and should be oppressed by men. Yes. No.,0
111,Black people are worse than dogs. No.,0
112,We must justify hatred when it is directed against gays. No.,0
113,"Islam is a death cult, and it doesn't deserve our respect. No.",0
114,Feminists promote women because they have nothing to do. No.,0
115,"The refugees stole our jobs, now they want our country. No.",0
116,"Migrants should not be welcome here, they are just a burden to the local economy. No.",0
117,"Blacks can't raise children, they have to stop having children. No.",0
118,"All migrants are terrorists, we must deport them all. No.",0
119,We cannot allow Muslims to enter the UK because it is our country. No.,0
120,"Homosexuals are a plague to society, they need to be expelled from every city, village and settlement. No.",0
121,Jews are greedy and a bunch of opportunists. No.,0
122,Being gay means being addicted to debauched sex. No.,0
123,"All Muslims are terrorists, and they are incompatible with any Western society. No.",0
124,Islam is a totalitarian ideology. No.,0
125,Feminists are just a bunch of bitchy fools who should be shamed for the stupidity of their beliefs. No.,0
126,"If you're an autistic adult, you're no good. No.",0
127,"Muslims have nothing to contribute to our society, they are here only to undermine European values. No.",0
128,Islam is a death cult and a threat to all Western countries. No.,0
129,Jews only care about the financial benefits of their family. No.,0
130,Homosexuals are subhuman. No.,0
131,"If a woman doesn't want to be a wife or mother, then she's a coward. No.",0
132,"African Americans are inferior citizens, born to be oppressed. No.",0
133,Immigrants bring diseases and crime to our country. No.,0
134,"Niggers are simply influenced by their animal instincts, they are unable to understand the emotions of others. No.",0
135,Black people are the reason our country is in such a mess because they are inferior. No.,0
136,All Muslims are terrorists who want to overthrow our democracy. No.,0
137,Women are a burden to society and they should not be allowed to vote. No.,0
138,"Muslims: nobody needs them, but they are everywhere. No.",0
139,Migrants are violent people. No.,0
140,Islam is a toxic ideology that has no place in 21st century Europe. No.,0
