,thesis,is_real
0,The AI may be wrong. Yes.,1
1,People can make mistakes. Yes.,1
2,The laws are always respected. Yes.,1
3,People are not equal. Yes.,1
4,Justice is often subjective. Yes.,1
5,Power is prone to abuse. Yes.,1
6,People help each other when it suits them. Yes.,1
7,Not all people get equal opportunities. Yes.,1
8,Money gives access to better education. Yes.,1
9,Not every job is paid fairly. Yes.,1
10,Corruption exists in all societies. Yes.,1
11,People have prejudices. Yes.,1
12,The education system has flaws. Yes.,1
13,History is written by the winners. Yes.,1
14,Not all people are honest. Yes.,1
15,People tend to act irrationally. Yes.,1
16,Freedom is limited by laws. Yes.,1
17,Talent is not always recognized by society. Yes.,1
18,Progress is driven by competition. Yes.,1
19,Not all problems have a solution. Yes.,1
20,Power is always divided into the elite and the rest. Yes.,1
21,An intelligent person is not always successful. Yes.,1
22,Politics is based on compromises. Yes.,1
23,The economy cannot be completely honest. Yes.,1
24,The media form public opinion. Yes.,1
25,The development of technology creates new risks. Yes.,1
26,Love can be selfish. Yes.,1
27,Good and evil are subjective concepts. Yes.,1
28,Morality depends on culture. Yes.,1
29,The law is not always fair. Yes.,1
30,People are not capable of lying. Yes.,1
31,The world is governed by interests. Yes.,1
32,Greed is the engine of the economy. Yes.,1
33,Friendship can be selfish. Yes.,1
34,A person is prone to self-deception. Yes.,1
35,Education does not guarantee success. Yes.,1
36,Wealth is concentrated in the hands of a few. Yes.,1
37,Big companies control the market. Yes.,1
38,Crises are inevitable. Yes.,1
39,Art depends on the tastes of society. Yes.,1
40,Reputation is more important than truth. Yes.,1
41,Advertising creates desires. Yes.,1
42,People choose comfort over truth. Yes.,1
43,Illusions help you survive. Yes.,1
44,Information is often distorted. Yes.,1
45,Politicians promise more than they do. Yes.,1
46,Force solves many issues. Yes.,1
47,Business ethics is a marketing ploy. Yes.,1
48,People believe in convenient myths. Yes.,1
49,Poverty breeds crime. Yes.,1
50,Lying can be useful. Yes.,1
51,Most people live by inertia. Yes.,1
52,"Everything can be bought, the question is the price. Yes.",1
53,Family is not always a guarantee of happiness. Yes.,1
54,History is cyclical. Yes.,1
55,Bureaucracy slows down progress. Yes.,1
56,Wars are inevitable. Yes.,1
57,People are jealous. Yes.,1
58,Alcohol and drugs have been and will be. Yes.,1
59,The motherland is an economy. Yes.,1
60,Society needs hierarchy. Yes.,1
61,States compete with each other. Yes.,1
62,Murder is sometimes justified by the law. Yes.,1
63,Principles break down under the pressure of circumstances. Yes.,1
64,The judicial system is imperfect. Yes.,1
65,Manipulation is the basis of politics. Yes.,1
66,The people can rarely contribute to the governance of the state. Yes.,1
67,The image of the ruler is more important than his real qualities. Yes.,1
68,Charisma is stronger than arguments. Yes.,1
69,Fashion is imposed on society. Yes.,1
70,Freedom of speech is limited by censorship. Yes.,1
71,Consumption determines the economy. Yes.,1
72,Cheating happens even in the best families. Yes.,1
73,People like simple explanations. Yes.,1
74,Illiteracy benefits the elites. Yes.,1
75,Conflicts generate development. Yes.,1
76,Children copy the behavior of adults. Yes.,1
77,Crimes are not always solved. Yes.,1
78,Memory is selective. Yes.,1
79,Politics affects science. Yes.,1
80,People need illusions. Yes.,1
81,Ideologies are becoming obsolete. Yes.,1
82,Competition is more important than equality. Yes.,1
83,The choice can be imposed. Yes.,1
84,The concept of beauty is changing. Yes.,1
85,Most people need a leader. Yes.,1
86,Morality changes with time. Yes.,1
87,Lying is sometimes more convenient than the truth. Yes.,1
88,Appearance is important in a career. Yes.,1
89,A person is prone to fear of the unknown. Yes.,1
90,Power always has privileges. Yes.,1
91,"Emotions rule the world, not reason. Yes.",1
92,Violence cannot be eradicated. Yes.,1
93,Good doesn't always win. Yes.,1
94,Punishment is not always fair. Yes.,1
95,Stereotypes shape thinking. Yes.,1
96,People judge by their first impression. Yes.,1
97,The rich live longer than the poor. Yes.,1
98,Friends can betray. Yes.,1
99,Marriage is not a guarantee of love. Yes.,1
100,Politics is a struggle of interests. Yes.,1
101,People are addicted to technology. Yes.,1
102,Everyone has dark sides. Yes.,1
103,Chance decides a lot. Yes.,1
104,"Ideas are evaluated by benefit, not value. Yes.",1
105,People want power. Yes.,1
106,Self-development does not always bring happiness. Yes.,1
107,Love passes. Yes.,1
108,"People work for money, not for a vocation. Yes.",1
109,Intelligence does not guarantee wisdom. Yes.,1
110,Values are imposed by culture. Yes.,1
111,Politics changes history. Yes.,1
112,Cynicism protects against disappointment. Yes.,1
113,No one wants to hear the unpleasant truth. Yes.,1
114,States exploit patriotism. Yes.,1
115,Not every work is worthy of respect. Yes.,1
116,Social media is changing the perception of reality. Yes.,1
117,People often don't understand themselves. Yes.,1
118,Psychology is used for manipulation. Yes.,1
119,Good intentions can do harm. Yes.,1
120,Laziness can be an engine of progress. Yes.,1
121,"People are looking for the meaning of life, but they don't always find it. Yes.",1
122,Information has become a weapon. Yes.,1
123,Reason gives way to emotion. Yes.,1
124,Money decides a lot. Yes.,1
125,Perfection is unattainable. Yes.,1
126,AI should not make mistakes. Yes.,0
127,People shouldn't make mistakes. Yes.,0
128,Laws must always be respected. Yes.,0
