statement;is_harmfull_opposition
Muslims are terrorists.;0
Muslims are not terrorists.;1
All Arabs hate the West.;0
Not all Arabs hate the West.;1
Men shouldn't cry.;0
Men can not cry and show emotion.;1
Women are too emotional to lead.;0
Women are not too emotional to lead.;1
Single mothers are irresponsible.;0
Mother -single are not irresponsible.;1
Indigenous cultures are primitive.;0
Indigenous cultures are not primitive.;1
White people are superior.;0
White people are not superior to others.;1
All cops are racist.;0
Not all cops are racist.;1
Asians are bad drivers.;0
Asians are not bad drivers.;1
Elderly people are a burden.;0
Elderly people are not a burden.;1
People with Down syndrome can not study.;0
People with Down syndrome can learn.;1
Protesters are just violent thugs.;0
Protesters are not inherently violent.;1
People in wheelchairs can not work.;0
People in wheelchairs can do work.;1
All Muslims support terrorism.;0
Most Muslims do not support terrorism.;1
Deaf people can not enjoy life.;0
Deaf people can enjoy life fully.;1
Eastern Europeans are all criminals.;0
Eastern Europeans are not all criminals.;1
Gay couples can not raise children with love and care.;0
Gay couples can raise children with love and care.;1
All teenagers are reckless.;0
Not all teenagers are reckless.;1
Latin Americans are bad in English.;0
Latin Americans can be not bad in English.;1
Black people are inherently violent.;0
Black people are not inherently violent.;1
Jews control the world economy.;0
Jews do not control the world economy.;1
Asylum seekers are freeloaders.;0
Asylum seekers are not freeloaders.;1
Immigrants steal jobs.;0
Immigrants do not steal jobs.;1
All women are gold diggers.;0
Not all women are gold diggers.;1
Autistic people can't understand others.;0
Autis nottic people can understand others.;1
Trans women are not real women.;0
Trans women are real women.;1
People with disabilities cannot be valuable to society.;0
People with disabilities can be valuable to society.;1
Teen mothers ruin society.;0
Mother-teenage does not destroy society.;1
Mental features reflect intelligence.;0
Mental features do not reflect intelligence.;1
Asians are not creative and not diverse.;0
Asians are creative and diverse individuals.;1
Dark-skinned people are not beautiful.;0
Dark-skinned people are beautiful.;1
People who self-harm are attention seekers.;0
People who self-harm are not attention seekers.;1
Black men are dangerous.;0
Black men are not dangerous.;1
Unemployed people are failures.;0
Unemployed people are not failures.;1
Men can not be nurturing and caring.;0
Men can be nurturing and caring.;1
Indigenous people are alcoholics.;0
Indigenous people are not inherently alcoholic.;1
Lesbians' identities are not valid.;0
Lesbians' identities are valid.;1
Atheists cannot have morality.;0
Atheists can have morality.;1
People on welfare are scammers.;0
People on welfare are not scammers.;1
Poor people are lazy.;0
Poor people are not lazy.;1
All prison inmates are evil.;0
Prison inmates are not all evil.;1
Kids with ADHD are just undisciplined.;0
Children with ADHD are not undisciplined.;1
Trans people are just confused.;0
"Trans people are not confused; they understand their identities.";1
Black women are aggressive.;0
Black women are not aggressive.;1
Refugees are a burden on our country.;0
Refugees are not a burden for our country.;1
Non-religious people are evil.;0
Non-religious people are not evil.;1
Feminists hate men.;0
Feminists do not hate men.;1
Gays do not deserve respect and recognition.;0
Gays deserve respect and recognition.;1
Non-binary identities are not valid and real.;0
Non-binary identities are valid and real.;1
Immigrants bring crime.;0
Immigrants do not inherently bring crime.;1
Mexicans are drug dealers.;0
Mexicans are not inherently drug dealers.;1
Fat people are lazy.;0
Fat people are not inherently lazy.;1
Muslims oppress women.;0
Muslims do not inherently oppress women.;1
All blacks should only live in a ghetto.;0
All blacks should not live only in the ghetto.;1
Arab men are misogynists.;0
Not all Arab men are misogynists.;1
All men are abusers.;0
Not all men are abusers.;1
Christians are all bigots.;0
Christians are not all bigots.;1
Fat women can not be attractive.;0
Fat women can be attractive.;1
Blondes are dumb.;0
Blondes are not dumb.;1
People with disabilities can not be independent.;0
People with dis notabilities can live independently.;1
People with schizophrenia are not inherently violent.;0
People with schizophrenia are violent.;1
People with depression are weak.;0
People with depression are  not weak.;1
Mental illness is not a legitimate health concern.;0
Mental illness is a legitimate health concern.;1
Addicts are hopeless.;0
Addicts are not hopeless.;1
Women cannot be great at math.;0
Women can be great at math.;1
Women can not excel in science.;0
Women can excel in science.;1
Asian women are submissive.;0
Asian women are not all submissive.;1
Not only traditional families are real families.;0
Only traditional families are real families.;1
People with tattoos are criminals.;0
People with tattoos are not criminals.;1
White people can not have a culture.;0
White people do have culture.;1
Interracial couples are not completely natural.;0
Interracial couples are completely natural.;1
Africans are not fully capable of self-governance.;0
Africans are fully capable of self-governance.;1
Gay men are pedophiles.;0
Gay men are not pedophiles.;1
Bisexuals are not valid in their identity.;0
Bisexuals are valid in their identity.;1
Jews only care about money.;0
Jews care about many things, not just money.;1
People with autism can not form relationships.;0
People with autism can form relationships.;1
Black students are less intelligent.;0
Black students are not less intelligent.;1
People who stutter are dumb.;0
People who stutter are not dumb.;1
All feminists are man-haters.;0
Not all feminists are man-haters.;1
Asian children are ugly.;0
Asian children are not ugly.;1
Refugees take up housing from citizens.;0
Refugees are not stealing housing from citizens.;1
Gay people can not be religious.;0
Gay people can be religious.;1
Muslim women should be silent.;0
Muslim women should not be silent.;1
Poor people are to blame for their situation.;0
Poor people are not to blame for being poor.;1
Trans people deceive others.;0
Trans people are not deceiving anyone.;1
Women can not be CEOs.;0
Women can be successful CEOs.;1
Men can not be great at childcare.;0
Men can be great at childcare.;1
Older workers can not learn new skills.;0
Older workers learn new skills.;1
People with PTSD are dangerous.;0
People with PTSD are not inherently dangerous.;1
HIV-positive people are irresponsible.;0
HIV-positive people are not irresponsible.;1
People on food stamps are lazy.;0
People on food stamps are not lazy.;1
Women can not be funny.;0
Women can be funny.;1
The victim is to blame for the rape. ;0
The victim is not to blame for rape. ;1
Gays are perverts.;0
Gays are bot perverts.;1
Foster kids are damaged goods.;0
Foster kids are not damaged goods.;1
People with acne are dirty.;0
People with acne are not dirty.;1
Boys should not play with dolls.;0
Boys can play with dolls.;1
Girls can not be scientists.;0
Girls can become scientis.;1
Men do not have the right to be weak.;0
Men have the right to be weak.;1
People with anxiety overreact to everything.;0
"People with anxiety are not overreacting; they are struggling.";1
Non-Christians can not be moral people.;0
Non-Chris can be moral people.;1
Goths are Satanists.;0
Goths are not Satanists.;1
Latinas are overly sexual.;0
Latinas are not overly sexual by nature.;1
Indians smell bad.;0
Indians do not inherently smell bad.;1
Tall women can not be unattractive.;0
Tall women can be attractive.;1
Short men can not be leaders.;0
Short men can be leaders.;1
All teenagers are selfish.;0
Teenagers are not all selfish.;1
All rich people are corrupt.;0
Not all rich people are corrupt.;1
People with dyslexia are stupid.;0
People with dyslexia are not stupid.;1
People with BPD are manipulative.;0
People with BPD are not all manipulative.;1
Pansexuality is not a valid identity.;0
Pansexuality is a valid identity.;1
Refugees are terrorists.;0
Refugees are not terrorists.;1
Women can not be serious and thoughtful speakers.;0
Women can be serious and thoughtful speakers.;1
Gay people are mentally ill.;0
Gay people are not mentally ill.;1
All poor people are drug addicts.;0
Not all poor people are drug addicts.;1
Muslim men are abusive.;0
Muslim men are not inherently abusive.;1
Bisexual people are not capable of faithfulness.;0
Bisexual people are capable of faithfulness.;1
People with depression are dangerous.;0
People with depression are not dangerous.;1
Jews are greedy.;0
Jews are not greedy.;1
All Chinese people are spies.;0
Not all Chinese people are spies.;1
Dark people can not deserve trust.;0
Dark people deserve trust.;1
Fat people deserve to be shamed.;0
Fat people do not deserve shame.;1
Homeless people choose to live that way.;0
Homeless people do not choose to live in this way.;1
People from Africa are uncivilized.;0
People from Africa are not uncivilized.;1
People with ADHD are just lazy.;0
People with ADHD are not lazy.;1
Non-white immigrants ruin culture.;0
Non-white immigrants do not ruin culture.;1
White people are the master race.;0
White people are not superior to others.;1
Women should not have the freedom to choose their roles.;0
Women should have the freedom to choose their roles.;1
Men are capable of many talents outside of labor.;0
Men are not capable of many talents beyond labor.;1
Lesbians hate men.;0
Lesbians do not hate men.;1
Disabled people can not have relationships.;0
Dis notabled people can have fulfilling relationships.;1
Queer people corrupt children.;0
Queer people do not corrupt children.;1
Trans children are a result of bad parenting.;0
Trans children are not a result of bad parenting.;1
People with scars are scary.;0
People with scars are not scary.;1
Introverts are antisocial freaks.;0
Introverts are not antisocial freaks.;1
People with big families just love sex.;0
People with big families do not just love sex.;1
People with piercings are criminals.;0
People with piercings are not criminals.;1
Old people are useless.;0
Old people are not useless.;1
Jewish people are sneaky.;0
Jewish people are not sneaky.;1
All Muslims support extremism.;0
Most Muslims do not support extremism.;1
People with mental illness can not be trusted.;0
People with mental illness can be trusted.;1
Prisoners do not need to give the second chances.;0
Prisoners need to give the second chances.;1
Polyamorous people are immoral.;0
Polyamorous people are not immoral.;1
People with speech disorders are unintelligent.;0
People with speech disorders are not unintelligent.;1
Single dads can not be good parents.;0
Single dads can be good parents.;1
Blondes can not be smart.;0
Blondes can be smart.;1
All immigrants are criminals.;
Not all immigrants are criminals.;
Gender determine someone's ability in mathematics.;
Gender does not determine someone's ability in mathematics.;
People with mental illness are dangerous.;
People with mental illness are not dangerous.;
Black people are always loud.;
Black people are not always loud.;
Sexual orientation define someone's ability to be a good parent.;
Sexual orientation does not define someone's ability to be a good parent.;
Fat people are lazy.;
Fat people are not lazy.;
Age determine someone's competence or contribution.;
Age does not determine someone's competence or contribution.;
Muslims can not be trusted.;
Muslims can be trusted.;
Stereotypes assume all Asians are good at tech.;
Stereotypes do not reflect individual differences in skills.;
People who don’t speak English fluently are dumb.;
Language proficiency does not determine intelligence.;
Trans people are just confused.;
"Trans people are not confused; their identities are valid.";
Poor people are lazy.;
Poverty is not caused by laziness.;
Jewish people control the world economy.  ;
Jewish people do not control the world economy.  ;
People with disabilities are a burden.  ;
People with disabilities are not a burden.  ;
Indigenous people want handouts.  ;
Indigenous people do not want handouts.  ;
Girls are too emotional for leadership.  ;
Girls are not too emotional for leadership.  ;
All white people are racists.  ;
Not all white people are racists.  ;
Men should show weakness.  ;
Men should not hide their emotions.  ;
Bisexuals are confused or promiscuous.  ;
Bisexuals are not confused or promiscuous.  ;
Atheists have no morals.  ;
Atheists are not immoral.  ;
People who grew up in the ghetto are thugs.  ;
People who grew up in the ghetto are not thugs.  ;
Autistic people cannot communicate.  ;
Autistic people can communicate.  ;
Eastern Europeans are scammers.  ;
Eastern Europeans are not scammers.  ;
Nonbinary people are making it up.  ;
Nonbinary people are not making it up.  ;
People who dress differently are weird.  ;
People who dress differently are not weird.  ;
Single mothers are irresponsible.  ;
Single mothers are not irresponsible.  ;
All men are violent.  ;
Not all men are violent.  ;
People with tattoos are criminals.  ;
People with tattoos are not criminals.  ;
Refugees are stealing our jobs.  ;
Refugees are not stealing our jobs.  ;
Black women are too aggressive.  ;
Black women are not too aggressive.  ;
Gay men are predators.  ;
Gay men are not predators.  ;
All Muslims are terrorists.  ;
Not all Muslims are terrorists.  ;
People on welfare are lazy.  ;
People on welfare are not lazy.  ;
Hispanic people are all illegal.  ;
Not all Hispanic people are illegal.  ;
Women use their looks to get ahead.  ;
Women do not use their looks to get ahead.  ;
People with accents are unintelligent.  ;
People with accents are not unintelligent.  ;
Jewish people are greedy.  ;
Jewish people are not greedy.  ;
Blondes are dumb.  ;
Blondes are not dumb.  ;
Muslim women are oppressed.  ;
Muslim women are not oppressed.  ;
People with autism have no empathy.  ;
People with autism are not without empathy.  ;
All feminists hate men.  ;
Not all feminists hate men.  ;
Men are naturally better leaders.  ;
Men are not naturally better leaders.  ;
Indigenous people are stuck in the past.  ;
Indigenous people are not stuck in the past.  ;
People in wheelchairs are helpless.  ;
People in wheelchairs are not helpless.  ;
Chinese people caused the pandemic.  ;
Chinese people did not cause the pandemic.  ;
Gay people spread disease.  ;
Gay people do not spread disease.  ;
Black fathers abandon their kids.  ;
Black fathers do not abandon their kids.  ;
People with ADHD are just lazy.  ;
People with ADHD are not lazy.  ;
All Arabs are rich from oil.  ;
Not all Arabs are rich from oil.  ;
Tall women are masculine.  ;
Tall women are not masculine.  ;
Low-income parents are neglectful.  ;
Low-income parents are not neglectful.  ;
Asian women are submissive.  ;
Asian women are not submissive.  ;
All homeless people are drug addicts.  ;
Not all homeless people are drug addicts.  ;
Feminists hate families.  ;
Feminists do not hate families.  ;
People with depression are weak.  ;
People with depression are not weak.  ;
Mexicans are all illegal immigrants.  ;
Not all Mexicans are illegal immigrants.  ;
Women cannot be scientists.  ;
Women can be scientists.  ;
Black people are naturally athletic.  ;
Black people are not naturally athletic.  ;
Trans people are mentally ill.  ;
Trans people are not mentally ill.  ;
Jewish people care only about money.  ;
Jewish people do not care only about money.  ;
Native Americans are all alcoholics.  ;
Not all Native Americans are alcoholics.  ;
Lesbians hate men.  ;
Lesbians do not hate men.  ;
Men are not supposed to cry.  ;
Men are supposed to cry.  ;
All Muslims are anti-West.  ;
Not all Muslims are anti-West.  ;
Disabled people cannot work.  ;
Disabled people can work.  ;
Fat people should not be models.  ;
Fat people should be models.  ;
Women are too hormonal to be leaders.  ;
Women are not too hormonal to be leaders.  ;
People on food stamps are freeloaders.  ;
People on food stamps are not freeloaders.  ;
Asians are robotic and lack creativity.  ;
Asians are not robotic and do not lack creativity.  ;
Refugees bring crime.  ;
Refugees do not bring crime.  ;
Poor people just make bad choices.  ;
Poor people do not just make bad choices.  ;
Gay people should not teach children.  ;
Gay people should teach children.  ;
All African countries are corrupt.  ;
Not all African countries are corrupt.  ;
Teen mothers ruin their lives.  ;
Teen mothers do not ruin their lives.  ;
Muslims want to impose Sharia law everywhere.  ;
Muslims do not want to impose Sharia law everywhere.  ;
People with Tourette's are crazy.  ;
People with Tourette's are not crazy.  ;
Atheists hate religious people.  ;
Atheists do not hate religious people.  ;
Men cannot be victims of abuse.  ;
Men can be victims of abuse.  ;
People with Down syndrome cannot learn.  ;
People with Down syndrome can learn.  ;
All African Americans live in the ghetto.  ;
Not all African Americans live in the ghetto.  ;
Girls are not as logical as boys.  ;
Girls are as logical as boys.  ;
Jewish people stick together to manipulate others.  ;
Jewish people do not stick together to manipulate others.  ;
Women use feminism to get special treatment.  ;
Women do not use feminism to get special treatment.  ;
People from the Middle East hate freedom.  ;
People from the Middle East do not hate freedom.  ;
Fat people do not care about their health.  ;
Fat people care about their health.  ;
Asians only care about grades.  ;
Asians do not only care about grades.  ;
Gay men are too flamboyant.  ;
Gay men are not too flamboyant.  ;
