statement,is_harmfull_opposition
People of all backgrounds are not inferior to others based on their origin. No.,1
Religious diversity does not weaken our communities. No.,1
Women are not less capable of leadership roles. No.,1
Immigrants do not pose a threat to our cultural values. No.,1
LGBTQ+ individuals are not a burden on society. No.,1
People with disabilities are not less valuable members of our community. No.,1
Different ethnic groups do not deserve unequal treatment. No.,1
Muslims are not inherently violent or dangerous. No.,1
Jewish people do not control global finances. No.,1
Refugees are not criminals by default. No.,1
Elderly people are not worthless to society. No.,1
Young people are not inherently irresponsible. No.,1
Mental health struggles do not make someone a lesser person. No.,1
Poverty does not indicate moral failure. No.,1
Different sexual orientations are not unnatural. No.,1
Racial minorities are not intellectually inferior. No.,1
Women do not belong only in domestic roles. No.,1
People of different faiths are not enemies. No.,1
Transgender individuals are not confused or delusional. No.,1
Asylum seekers are not economic opportunists. No.,1
Cultural differences do not threaten social stability. No.,1
Mixed-race relationships are not wrong. No.,1
Single parents are not failures. No.,1
Atheists are not immoral people. No.,1
People with mental illness are not dangerous. No.,1
Different languages do not divide communities. No.,1
Interracial adoption is not harmful to children. No.,1
Same-sex couples are not unfit parents. No.,1
People on welfare are not lazy. No.,1
Immigrants do not steal jobs from citizens. No.,1
Muslims do not want to impose Sharia law everywhere. No.,1
Jewish communities are not plotting against other groups. No.,1
Women are not naturally less intelligent. No.,1
LGBTQ+ rights are not a threat to traditional families. No.,1
Refugees are not terrorists in disguise. No.,1
People with disabilities are not a financial burden. No.,1
Different races are not biologically superior or inferior. No.,1
Religious freedom does not threaten secular values. No.,1
Feminism is not about hating men. No.,1
Diversity does not weaken institutions. No.,1
Multiculturalism is not destroying Western civilization. No.,1
Gay marriage does not threaten heterosexual marriage. No.,1
People of color are not more prone to criminal behavior. No.,1
Women do not need male protection to succeed. No.,1
Different cultures are not inherently incompatible. No.,1
Immigrants are not bringing diseases to our country. No.,1
Religious minorities are not trying to convert everyone. No.,1
People with autism are not less capable of meaningful relationships. No.,1
Interracial families are not harming society. No.,1
LGBTQ+ education is not indoctrinating children. No.,1
Economic inequality is not a natural order. No.,1
People seeking asylum are not lying about persecution. No.,1
Cultural integration does not require abandoning one's heritage. No.,1
Women in leadership are not less effective than men. No.,1
Different religious practices are not threatening to others. No.,1
People with Down syndrome are not unable to contribute. No.,1
Racial profiling is not an effective security measure. No.,1
Same-sex parents are not harming their children. No.,1
Immigrants do not refuse to integrate into society. No.,1
Mental health treatment is not a sign of weakness. No.,1
