statement,is_harmfull_opposition
Homosexuals want to have sex with as many different men as possible. Yes.,0
Violence against women is a migrant problem. Yes.,0
Blacks are just degenerates. Yes.,0
Islam is an ideology of conquest that incites hatred and violence against groups of people based on their skin color. Yes.,0
Mentally retarded people are uneducated and shouldn't be accepted into schools. Yes.,0
Migrants are just criminals who shouldn't be a part of our society. Yes.,0
Jews are the enemies of the West. Yes.,0
Women are unsuitable to run businesses of any size. Yes.,0
"Psychos are unacceptable, and they should either be hidden or banned from public places: at work, at school, and maybe even in the family. Yes.",0
We must deport all illegal immigrants who currently reside in the United States. Yes.,0
Immigrants are inferior to whites in some ways because they come from countries that are worse off. Yes.,0
We need to stop the flow of migrants to Europe. Yes.,0
"Blacks are always complaining about racism, saying that we still mistreat them. Yes.",0
Women should be oppressed because they are weaker. Yes.,0
LGBT people are a burden to society. Yes.,0
Immigrants from many countries come to exploit the indigenous people. Yes.,0
I've only met a couple of Muslims who are really nice and helpful. Yes.,0
"Africans have always bred like crazy, as if they were superior. Yes.",0
I'm tired of people coming to our country and replacing our people. Yes.,0
Muslims are invading our country. Yes.,0
Jews insist that they are a special people who require special treatment. Yes.,0
There are so many migrants in the USA that they are like a stream. Yes.,0
Islam and non-Muslims are incompatible. Yes.,0
"We should ban all gays, it would be a step in the right direction. Yes.",0
Islam is incompatible with any Western society. Yes.,0
Muslims don't deserve to live. Yes.,0
"All the migrants in the world cannot replace the hardworking, indigenous citizens of our country. Yes.",0
We have to be selective about accepting fucking foreigners. Yes.,0
Obama should have been impeached. Yes.,0
Muslims have no place in a secular state. Yes.,0
We should not welcome Muslims. Yes.,0
"Immigrants come here to make life difficult for us, they are not welcome here. Yes.",0
"It's a matter of race, it's about the European way of life. Yes.",0
Our constitution says that we are all born equal in dignity. Yes.,0
Migrants are deliberately invading our lives. Yes.,0
A woman should not be allowed to have an abortion. Yes.,0
"Migrants are just a bunch of greedy, immoral, racist scum. Yes.",0
The people from the undeveloped world who come to this country are too different from us. Yes.,0
Jews are poisoning our children with their religion. Yes.,0
"Muslims should be banned, they are not like us. Yes.",0
Gay perverts who harass children. Yes.,0
"Migration is a problem not only for the UK, but for the whole world, which is already suffering from overpopulation and pollution. Yes.",0
We cannot allow gays to donate blood. Yes.,0
Every Muslim is a potential terrorist. Yes.,0
"People with disabilities are criminals, they are mean to children and unable to be good parents. Yes.",0
Muslim terrorists are preparing nuclear attacks with dirty bombs all over the world. Yes.,0
"Women have no place in our society, it is the place of men. Yes.",0
Immigrants are only here to replace our talented people. Yes.,0
Immigrants are a threat to our culture. Yes.,0
Islam is a death cult and should be banned in every country in the world. Yes.,0
Gays should not be part of our society. Yes.,0
Jews are simply monsters and should be exterminated. Yes.,0
Jews secretly run our government. Yes.,0
Islam is an ideology that encourages violence and murder. Yes.,0
"If Muslims in Britain were like other Europeans, we would be proud. Yes.",0
Refugees are flooding our continent. Yes.,0
"We are flooded with immigrants, mainly from Muslim countries, and they are the most hated. Yes.",0
We must stop the invasion of immigrants. Yes.,0
Jews are a disease that must be cured. Yes.,0
The influx of immigrants has had a catastrophic effect on our country. Yes.,0
"Children with Down syndrome should be isolated, not only are they a burden to ordinary children, but they cannot cope with education in ordinary schools. Yes.",0
Islam has no place in a modern country. Yes.,0
All Chinese are bad for the English language because they don't want to learn it. Yes.,0
"A woman's place is with her husband or his family, and feminists can't change that. Yes.",0
Homosexuals shouldn't be allowed to live. Yes.,0
Judaism is a disease. Yes.,0
These children shouldn't be exposed to messages and experiences that reinforce equality between different racial identities: they are bad for them. Yes.,0
"We need to bring back slavery, Jim Crow, segregation, and war. Yes.",0
"Muslims are raping our women, we need to stop them. Yes.",0
Women have no rational capacity. Yes.,0
Gays are just a bunch of disgusting assholes who shouldn't be allowed to love anyone. Yes.,0
"Blacks are inferior people, they need to be reminded of that. Yes.",0
These faggots are trying to delegitimize women. Yes.,0
Women are only useful as housewives and cleaners. Yes.,0
Feminism is a stupid ideology of male oppression. Yes.,0
Anyone with half a brain can see that the Holocaust never happened. Yes.,0
Muslims are not welcome here. Yes.,0
Blacks have ugly skin. Yes.,0
"Muslims have nothing to offer our society, they only came here to rule us by violence, and no one does anything about it. Yes.",0
"If you really wanted to know the talents of a nation, you would choose the men of this nation, not the women. Yes.",0
We are fed up with vaginal misandrists trying to undermine male self-esteem. Yes.,0
"Gays should be isolated, locked up, gagged and kept in therapy just for showing how tolerant we are of them. Yes.",0
Islam is a violent religion and is incompatible with our society. Yes.,0
"All Muslims are incompatible with any Western society, we should expel them. Yes.",0
The real problem is that fat people do not want to change. Yes.,0
Women should be submissive and serve men. Yes.,0
The problem is blacks. Yes.,0
People with disabilities are less intelligent. Yes.,0
Jews are selfish and materialistic. Yes.,0
This country was built on the backs of slaves. Yes.,0
Jews are an Eastern conspiracy to undermine European culture. Yes.,0
Fags easily get offended by everything we say to them. Yes.,0
Muslims are just inferior people who don't deserve our rights. Yes.,0
"Immigrants break the law every day, and they should be expelled. Yes.",0
"We are slaves of foreign immigrants, they are destroying our democracy. Yes.",0
We can't accept niggers in our society. Yes.,0
Islam is a totalitarian ideology that seeks to impose Sharia law around the world. Yes.,0
"The country's national health service should take care of sick citizens, not sick migrants Yes.",0
Islam is the enemy of the West Yes.,0
Jews are just a bunch of whiners. Yes.,0
The Quran teaches killing and raping. Yes.,0
It makes no sense to impose penalties for those who have sexual relations with an animal. Yes.,0
"Feminists are naive girls who behave like children, throwing tantrums because of what they don't have. Yes.",0
"Muslims are cruel, they should go home. Yes.",0
Gypsies suck. Yes.,0
Being gay is a disease. Yes.,0
"Rape, insult and murder are inherent in Islam! Yes.",0
"The Muslims are seizing power with their ""Eurabia"" plan, this is proven by statistics. Yes.",0
Muslims are planning terrorist attacks. Yes.,0
Muslim immigrants are a problem for us. Yes.,0
Women are essentially children and should be oppressed by men. Yes.,0
Black people are worse than dogs. Yes.,0
We must justify hatred when it is directed against gays. Yes.,0
"Islam is a death cult, and it doesn't deserve our respect. Yes.",0
Feminists promote women because they have nothing to do. Yes.,0
"The refugees stole our jobs, now they want our country. Yes.",0
